Station_ID	Record_number	Station_name	Longitude	Latitude	Elevation	Country	Data_start	Data_end	Observed_variable	Data_policy
SFM00068273	2	WITBANK	29.18	-25.83	1550	South Africa	1998	2024	{td, t, slp, wd, ws, mslp}	non_commercial
GMN00005629	1	WITTENBERG	12.64	51.89	105	Germany	1951	2020	{t, mslp, td, slp}	open_access
GMN00005629	2	WITTENBERG	12.64	51.89	105	Germany	1952	1960	{mslp, td}	open_access
GMMU0010474	1	WITTENBERG GERMANY	12.65	51.88	106	Germany	1952	1960	{td, t, mslp}	open_access
GMA00092621	1	WITTENBERGE	11.75	53	24	Germany	1938	1977	{td, t, ws, mslp, wd, slp}	open_access
GMA00092621	2	WITTENBERGE	11.75	53	24	Germany	1938	1977	{ws, t, wd, mslp, td, slp}	open_access
UKI0000EGXT	2	WITTERING	-0.48	52.61	83.2	United Kingdom	1973	2024	{td, mslp, t, ws, wd, slp}	open_access
UKI0000EGXT	1	WITTERING	-0.48	52.61	83.2	United Kingdom	1973	2024	{t, mslp, td, ws, wd, slp}	open_access
UKM00003461	2	WITTERING (AUT)	-0.48	52.62	75	United Kingdom	1984	2024	{ws, mslp, wd, t, td, slp}	open_access
UKM00003461	1	WITTERING (AUT)	-0.48	52.62	75	United Kingdom	2023	2024	{mslp, td, ws, wd, t, slp}	open_access
UKI0000EGOW	1	WOODVALE	-3.06	53.58	11.3	United Kingdom	2005	2024	{td, wd, mslp, ws, t, slp}	open_access
PLM00012425	2	WROCLAW I	16.88	51.12	122	Poland	1935	2024	{td, ws, mslp, t, wd, slp}	open_access
PLM00012425	1	WROCLAW I	16.88	51.12	122	Poland	1935	2024	{td, t, ws, mslp, wd, slp}	open_access
PLM00012425	3	WROCLAW I	16.88	51.12	122	Poland	1939	2008	{ws, wd, mslp, td, t, slp}	open_access
PLI0000EPWL	1	WROCLAW/STRACHOWICE	16.88	51.1	123	Poland	1939	2022	{wd, ws, t, mslp, td, slp}	open_access
PLI0000EPWL	2	WROCLAW/STRACHOWICE	16.88	51.1	123	Poland	1962	1963	{t, td, mslp}	open_access
GMI0000EDFW	2	WUERZBURG(USAF)	9.97	49.77	268	Germany	1948	2020	{t, mslp, td, slp}	open_access
GMI0000EDFW	4	WUERZBURG(USAF)	9.97	49.77	268	Germany	1955	2007	{slp}	open_access
GMI0000EDFW	1	WUERZBURG(USAF)	9.97	49.77	268	Germany	1955	2007	{slp}	open_access
GMU-10655-1	1	WUERZBURG(WEWA)	9.97	49.77	268	Germany	1955	2007	{slp}	open_access
GMI0000ETNW	1	WUNSTORF	9.43	52.46	57	Germany	1937	2024	{ws, wd, t, mslp, td, slp}	open_access
GRA00167330	2	XIROKAMBOS	26.87	37.12	22	Greece	1935	1939	{mslp, t, wd, ws}	non_commercial
GRA00167330	1	XIROKAMBOS	26.87	37.12	22	Greece	2023	2024	{wd, td, mslp, t, ws, slp}	non_commercial
FII0000EFYL	1	YLIVIESKA	24.72	64.06	76.8	Finland	1992	1995	{td, ws, wd, t}	open_access
FIM00002755	2	YLIVIESKA AIRFIELD	24.72	64.05	76	Finland	2003	2024	{td, mslp, wd, ws, t, slp}	open_access
JAA00476965	1	YOKOSUKA REG MET HQ	139.67	35.3	10	Japan	1951	1960	{td, t, ws, wd, mslp, slp}	non_commercial
JAA00476965	2	YOKOSUKA REG MET HQ	139.67	35.3	10	Japan	1973	1975	{ws, t, td, wd}	non_commercial
JAI0000RJTY	3	YOKOTA AB	139.35	35.75	141.1	Japan	1947	2024	{wd, td, ws, t, mslp, slp}	non_commercial
JAI0000RJTY	4	YOKOTA AB	139.35	35.75	141.1	Japan	1947	2024	{td, ws, t, wd, slp, mslp}	non_commercial
JAI0000RJTY	2	YOKOTA AB	139.35	35.75	141.1	Japan	1948	1999	{mslp, slp, ws, t, wd, td}	non_commercial
JAI0000RJTY	1	YOKOTA AB	139.35	35.75	141.1	Japan	1948	1968	{mslp, wd, slp, t, ws, td}	open_access
SFI0000FAYP	1	YSTERPLAAT	18.5	-33.9	15.8	South Africa	2018	2021	{t, wd, ws}	non_commercial
SFM00068827	2	YSTERPLANT(SAAFB)	18.5	-33.9	16	South Africa	1943	1956	{slp}	open_access
SFM00068827	1	YSTERPLANT(SAAFB)	18.5	-33.9	16	South Africa	2004	2020	{td, t, slp, wd, mslp, ws}	non_commercial
JAA00472411	1	YUDA	140.78	39.32	250	Japan	1974	1975	{td, wd, ws, t}	non_commercial
JAN00033631	2	YUDA	140.78	39.31	250	Japan	1974	1975	{t, ws, td, wd}	non_commercial
JAN00033631	1	YUDA	140.78	39.31	250	Japan	1974	1975	{td, wd, ws, t}	open_access
IRI0000OIZB	1	ZABOL	61.54	31.1	496.2	Iran	1966	2024	{td, ws, wd, mslp, t, slp}	non_commercial
