observation_id,data_policy_licence,date_time,date_time_meaning,observation_duration,longitude,latitude,report_type,height_above_surface,observed_variable,units,observation_value,value_significance,platform_type,station_type,primary_station_id,station_name,quality_flag,source_id
GM000001474-8-1899-01-85-0,Open,1899-01-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,279.15,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-01-85-1,Open,1899-01-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,273.98,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-02-85-0,Open,1899-02-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,279.52,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-02-85-1,Open,1899-02-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,273.71,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-03-85-0,Open,1899-03-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,280.09,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-03-85-1,Open,1899-03-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,272.42,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-04-85-0,Open,1899-04-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,284.57,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-04-85-1,Open,1899-04-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,276.77,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-05-85-0,Open,1899-05-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,288.82,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-05-85-1,Open,1899-05-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,280.56,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-06-85-0,Open,1899-06-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,293.17,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-06-85-1,Open,1899-06-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,283.28,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-07-85-0,Open,1899-07-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,295.93,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-07-85-1,Open,1899-07-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,287.05,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-08-85-0,Open,1899-08-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,295.17,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-08-85-1,Open,1899-08-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,285.03,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-09-85-0,Open,1899-09-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,290.28,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-09-85-1,Open,1899-09-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,282.86,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-10-85-0,Open,1899-10-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,285.95,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-10-85-1,Open,1899-10-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,277.97,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-11-85-0,Open,1899-11-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,284.22,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-11-85-1,Open,1899-11-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,278.5,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-12-85-0,Open,1899-12-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,273.63,Maximum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000001474-8-1899-12-85-1,Open,1899-12-01 00:00:00+00:00,beginning,monthly,8.784,53.102,CLIMAT,2.0,air_temperature,K,268.94,Minimum value over indicated period,,Land station,GM000001474,BREMEN-SEEFAHRTSCHULE,Passed,229
GM000002698-4-1899-01-85-0,Open,1899-01-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,279.78,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-01-85-1,Open,1899-01-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,274.44,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-02-85-0,Open,1899-02-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,281.5,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
