Station_id,primary_station_id_2,primary_station_id_3,record_number,data_policy_licence,region,sub_region,elevation,Station_name,source,,
AEI0000OMAA,ICAOOMAA-9-223,AEI0000OMAA-223,8,1,1,2,27,ABU DHABI INTL 41217,223,,
AEI0000OMAB,ICAOOMAB-3-223,AEI0000OMAB-223,1,1,1,2,94,BUHASA,223,,
AEI0000OMAB,ICAOOMAB-2-223,AEI0000OMAB-223,2,1,1,2,94,BUHASA,223,,
AEI0000OMAB,ICAOOMAB-1-223,AEI0000OMAB-223,3,1,1,2,94,BUHASA,223,,
AEI0000OMAD,ICAOOMAD-7-223,AEI0000OMAD-223,1,1,1,2,5,BATEEN 41216,223,,
AEI0000OMAD,ICAOOMAD-6-223,AEI0000OMAD-223,2,1,1,2,5,BATEEN 41216,223,,
AEI0000OMAD,ICAOOMAD-5-223,AEI0000OMAD-223,3,1,1,2,5,BATEEN 41216,223,,
AEI0000OMAD,ICAOOMAD-4-223,AEI0000OMAD-223,4,1,1,2,5,BATEEN 41216,223,,
AEI0000OMAD,ICAOOMAD-3-223,AEI0000OMAD-223,5,1,1,2,5,BATEEN 41216,223,,
AEI0000OMAD,ICAOOMAD-2-223,AEI0000OMAD-223,6,1,1,2,5,BATEEN 41216,223,,
AEI0000OMAD,ICAOOMAD-1-223,AEI0000OMAD-223,7,1,1,2,5,BATEEN 41216,223,,
AEI0000OMAD,ICAOOMAD-8-223,AEI0000OMAD-223,8,1,1,2,5,BATEEN 41216,223,,
AEI0000OMAD,ICAOOMAD-9-223,AEI0000OMAD-223,9,1,1,2,5,BATEEN 41216,223,,
AEI0000OMAH,ICAOOMAH-2-223,AEI0000OMAH-223,1,1,1,2,15,AL HAMRA AUX,223,,
AEI0000OMAH,ICAOOMAH-1-223,AEI0000OMAH-223,2,1,1,2,15,AL HAMRA AUX,223,,
AEI0000OMAL,ICAOOMAL-8-223,AEI0000OMAL-223,1,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAL,ICAOOMAL-7-223,AEI0000OMAL-223,2,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAL,ICAOOMAL-6-223,AEI0000OMAL-223,3,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAL,ICAOOMAL-5-223,AEI0000OMAL-223,4,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAL,ICAOOMAL-4-223,AEI0000OMAL-223,5,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAL,ICAOOMAL-3-223,AEI0000OMAL-223,6,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAL,ICAOOMAL-2-223,AEI0000OMAL-223,7,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAL,ICAOOMAL-1-223,AEI0000OMAL-223,8,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAL,ICAOOMAL-10-223,AEI0000OMAL-223,9,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAL,ICAOOMAL-9-223,AEI0000OMAL-223,10,1,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMAM,ICAOOMAM-2-223,AEI0000OMAM-223,1,1,1,2,23,AL DHAFRA,223,,
AEI0000OMAM,ICAOOMAM-1-223,AEI0000OMAM-223,2,1,1,2,23,AL DHAFRA,223,,
AEI0000OMDB,ICAOOMDB-8-223,AEI0000OMDB-223,3,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-7-223,AEI0000OMDB-223,4,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-6-223,AEI0000OMDB-223,5,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-5-223,AEI0000OMDB-223,6,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-4-223,AEI0000OMDB-223,7,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-3-223,AEI0000OMDB-223,8,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-2-223,AEI0000OMDB-223,9,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-13-223,AEI0000OMDB-223,10,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-12-223,AEI0000OMDB-223,11,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-11-223,AEI0000OMDB-223,12,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-10-223,AEI0000OMDB-223,13,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-1-223,AEI0000OMDB-223,14,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-14-223,AEI0000OMDB-223,15,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,ICAOOMDB-15-223,AEI0000OMDB-223,16,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDL,ICAOOMDL-2-223,AEI0000OMDL-223,1,1,0,2,25,DELMA,223,,
AEI0000OMDL,ICAOOMDL-1-223,AEI0000OMDL-223,2,1,0,2,25,DELMA,223,,
AEI0000OMDL,ICAOOMDL-3-223,AEI0000OMDL-223,3,1,0,2,25,DELMA,223,,
AEI0000OMDM,ICAOOMDM-2-223,AEI0000OMDM-223,1,1,1,2,50,DUBAI MINHAD AB,223,,
AEI0000OMDM,ICAOOMDM-1-223,AEI0000OMDM-223,2,1,1,2,50,DUBAI MINHAD AB,223,,
AEI0000OMFJ,ICAOOMFJ-6-223,AEI0000OMFJ-223,1,1,1,2,46,FUJAIRAH INTL 41198,223,,
AEI0000OMFJ,ICAOOMFJ-5-223,AEI0000OMFJ-223,2,1,1,2,46,FUJAIRAH INTL 41198,223,,
AEI0000OMFJ,ICAOOMFJ-4-223,AEI0000OMFJ-223,3,1,1,2,46,FUJAIRAH INTL 41198,223,,
AEI0000OMFJ,ICAOOMFJ-3-223,AEI0000OMFJ-223,4,1,1,2,46,FUJAIRAH INTL 41198,223,,
AEI0000OMFJ,ICAOOMFJ-2-223,AEI0000OMFJ-223,5,1,1,2,46,FUJAIRAH INTL 41198,223,,
AEI0000OMFJ,ICAOOMFJ-1-223,AEI0000OMFJ-223,6,1,1,2,46,FUJAIRAH INTL 41198,223,,
AEI0000OMFJ,ICAOOMFJ-7-223,AEI0000OMFJ-223,7,1,1,2,46,FUJAIRAH INTL 41198,223,,
AEI0000OMSJ,ICAOOMSJ-9-223,AEI0000OMSJ-223,1,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-8-223,AEI0000OMSJ-223,2,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-7-223,AEI0000OMSJ-223,3,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-5-223,AEI0000OMSJ-223,4,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-4-223,AEI0000OMSJ-223,5,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-3-223,AEI0000OMSJ-223,6,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-2-223,AEI0000OMSJ-223,7,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-10-223,AEI0000OMSJ-223,8,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-1-223,AEI0000OMSJ-223,9,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-11-223,AEI0000OMSJ-223,10,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-12-223,AEI0000OMSJ-223,11,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSJ,ICAOOMSJ-13-223,AEI0000OMSJ-223,12,1,1,2,34,SHARJAH INTL 41196,223,,
AEI0000OMSN,ICAOOMSN-2-223,AEI0000OMSN-223,1,1,0,2,7,SIR ABU NAIR,223,,
AEI0000OMSN,ICAOOMSN-1-223,AEI0000OMSN-223,2,1,0,2,7,SIR ABU NAIR,223,,
AEI0000OMAJ,ICAOOMAJ-1-223,AEI0000OMAJ-223,1,1,1,2,13,JEBEL DHANA,223,,
AEI0000OMAS,ICAOOMAS-1-223,AEI0000OMAS-223,1,1,0,2,4,DAS ISLAND,223,,
AEI0000OMAZ,ICAOOMAZ-1-223,AEI0000OMAZ-223,1,1,0,2,4,ZIRKU,223,,
AEI0000OMLW,ICAOOMLW-1-223,AEI0000OMLW-223,1,1,1,2,115,LIWA AB,223,,
AEI0000OMDB,133420307-245,AEI0000OMDB-223,1,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMDB,131940449-245,AEI0000OMDB-223,2,1,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMAA,41217-1-286,AEI0000OMAA-223,9,0,1,2,27,ABU DHABI INTL 41217,223,,
AEI0000OMAL,41218-1-286,AEI0000OMAL-223,11,0,1,2,265,AL AIN INTL 41218,223,,
AEI0000OMDB,41194-1-286,AEI0000OMDB-223,17,0,1,2,10,DUBAI INTL 41194,223,,
AEI0000OMFJ,41198-1-286,AEI0000OMFJ-223,8,0,1,2,46,FUJAIRAH INTL 41198,223,,
AEI0000OMSJ,41196-1-286,AEI0000OMSJ-223,13,0,1,2,34,SHARJAH INTL 41196,223,,
