primary_station_id_3,primary_station_id_2,station_id,record_number,station_name,longitude,latitude,height_of_station_above_sea_level,sub_region,region,data_policy_licence
USC00027480-161-1,USC00027480-161,USC00027480,1,AZ SAN CARLOS RESERVOIR,-110.526,33.182,771.8,231,4,0
USC00027480-162-2,USC00027480-162,USC00027480,2,AZ SAN CARLOS RESERVOIR,-110.526,33.182,771.8,231,4,0
USC00027488-120-3,USC00027488-120,USC00027488,3,AZ SANDERS,-109.322,35.224,1784,231,4,0
USC00027488-161-1,USC00027488-161,USC00027488,1,AZ SANDERS,-109.322,35.224,1784,231,4,0
USC00027488-233-2,USC00027488-233,USC00027488,2,AZ SANDERS,-109.322,35.224,1784,231,4,0
USC00027530-120-2,USC00027530-120,USC00027530,2,AZ SAN MANUEL,-110.629,32.601,1042.4,231,4,0
USC00027530-160-3,USC00027530-160,USC00027530,3,AZ SAN MANUEL,-110.629,32.601,1042.4,231,4,0
USC00027530-161-1,USC00027530-161,USC00027530,1,AZ SAN MANUEL,-110.629,32.601,1042.4,231,4,0
USC00027560-120-2,USC00027560-120,USC00027560,2,AZ SAN SIMON,-109.227,32.293,1091.2,231,4,0
USC00027560-160-3,USC00027560-160,USC00027560,3,AZ SAN SIMON,-109.227,32.293,1091.2,231,4,0
USC00027560-161-1,USC00027560-161,USC00027560,1,AZ SAN SIMON,-109.227,32.293,1091.2,231,4,0
USC00027619-120-2,USC00027619-120,USC00027619,2,AZ SASABE,-111.544,31.483,1094.2,231,4,0
USC00027619-160-3,USC00027619-160,USC00027619,3,AZ SASABE,-111.544,31.483,1094.2,231,4,0
USC00027619-161-1,USC00027619-161,USC00027619,1,AZ SASABE,-111.544,31.483,1094.2,231,4,0
USC00027622-120-3,USC00027622-120,USC00027622,3,AZ SASABE 7 NW,-111.602,31.604,1165.9,231,4,0
USC00027622-161-1,USC00027622-161,USC00027622,1,AZ SASABE 7 NW,-111.602,31.604,1165.9,231,4,0
USC00027622-233-2,USC00027622-233,USC00027622,2,AZ SASABE 7 NW,-111.602,31.604,1165.9,231,4,0
USC00027625-120-3,USC00027625-120,USC00027625,3,AZ SASABE 6 NNE,-111.506,31.572,1065.3,231,4,0
USC00027625-161-1,USC00027625-161,USC00027625,1,AZ SASABE 6 NNE,-111.506,31.572,1065.3,231,4,0
