primary_station_id_3,primary_station_id_2,station_id,record_number,station_name,longitude,latitude,height_of_station_above_sea_level,sub_region,region,data_policy_licence
USC00024702-120-3,USC00024702-120,USC00024702,3,AZ KOFA MINE,-113.965,33.274,541,231,4,0
USC00024702-161-1,USC00024702-161,USC00024702,1,AZ KOFA MINE,-113.965,33.274,541,231,4,0
USC00024702-233-2,USC00024702-233,USC00024702,2,AZ KOFA MINE,-113.965,33.274,541,231,4,0
USC00024761-120-2,USC00024761-120,USC00024761,2,AZ LAKE HAVASU CITY,-114.36,34.503,136.9,231,4,0
USC00024761-160-3,USC00024761-160,USC00024761,3,AZ LAKE HAVASU CITY,-114.36,34.503,136.9,231,4,0
USC00024761-161-1,USC00024761-161,USC00024761,1,AZ LAKE HAVASU CITY,-114.36,34.503,136.9,231,4,0
USC00024829-120-3,USC00024829-120,USC00024829,3,AZ LAVEEN 3 SSE,-112.147,33.337,345.9,231,4,0
USC00024829-161-1,USC00024829-161,USC00024829,1,AZ LAVEEN 3 SSE,-112.147,33.337,345.9,231,4,0
USC00024829-233-2,USC00024829-233,USC00024829,2,AZ LAVEEN 3 SSE,-112.147,33.337,345.9,231,4,0
USC00024849-120-4,USC00024849-120,USC00024849,4,AZ LEES FERRY     HCN,-111.602,36.864,978.4,231,4,0
USC00024849-161-1,USC00024849-161,USC00024849,1,AZ LEES FERRY     HCN,-111.602,36.864,978.4,231,4,0
USC00024849-162-2,USC00024849-162,USC00024849,2,AZ LEES FERRY     HCN,-111.602,36.864,978.4,231,4,0
USC00024849-233-3,USC00024849-233,USC00024849,3,AZ LEES FERRY     HCN,-111.602,36.864,978.4,231,4,0
USC00024977-120-3,USC00024977-120,USC00024977,3,AZ LITCHFIELD PARK,-112.363,33.499,317,231,4,0
USC00024977-160-4,USC00024977-160,USC00024977,4,AZ LITCHFIELD PARK,-112.363,33.499,317,231,4,0
USC00024977-161-1,USC00024977-161,USC00024977,1,AZ LITCHFIELD PARK,-112.363,33.499,317,231,4,0
USC00024977-233-2,USC00024977-233,USC00024977,2,AZ LITCHFIELD PARK,-112.363,33.499,317,231,4,0
USC00025270-120-3,USC00025270-120,USC00025270,3,AZ MARICOPA 4 N,-112.03,33.114,353.6,231,4,0
USC00025270-161-1,USC00025270-161,USC00025270,1,AZ MARICOPA 4 N,-112.03,33.114,353.6,231,4,0
USC00025270-233-2,USC00025270-233,USC00025270,2,AZ MARICOPA 4 N,-112.03,33.114,353.6,231,4,0
USC00025412-120-4,USC00025412-120,USC00025412,4,AZ MC NARY 2N,-109.859,34.114,2237.2,231,4,0
USC00025412-161-1,USC00025412-161,USC00025412,1,AZ MC NARY 2N,-109.859,34.114,2237.2,231,4,0
USC00025412-162-2,USC00025412-162,USC00025412,2,AZ MC NARY 2N,-109.859,34.114,2237.2,231,4,0
USC00025412-233-3,USC00025412-233,USC00025412,3,AZ MC NARY 2N,-109.859,34.114,2237.2,231,4,0
USC00025418-120-3,USC00025418-120,USC00025418,3,AZ MC NEAL,-109.669,31.602,1271,231,4,0
USC00025418-160-4,USC00025418-160,USC00025418,4,AZ MC NEAL,-109.669,31.602,1271,231,4,0
USC00025418-161-1,USC00025418-161,USC00025418,1,AZ MC NEAL,-109.669,31.602,1271,231,4,0
USC00025418-233-2,USC00025418-233,USC00025418,2,AZ MC NEAL,-109.669,31.602,1271,231,4,0
USC00025426-120-2,USC00025426-120,USC00025426,2,AZ MEADVIEW 1W,-114.068,36.018,895.5,231,4,0
USC00025426-161-1,USC00025426-161,USC00025426,1,AZ MEADVIEW 1W,-114.068,36.018,895.5,231,4,0
USC00025427-120-1,USC00025427-120,USC00025427,1,AZ MEADVIEW 2S,-114.079,35.973,989.7,231,4,0
USC00025467-120-3,USC00025467-120,USC00025467,3,AZ MESA,-111.818,33.411,376.4,231,4,0
USC00025467-161-1,USC00025467-161,USC00025467,1,AZ MESA,-111.818,33.411,376.4,231,4,0
USC00025467-233-2,USC00025467-233,USC00025467,2,AZ MESA,-111.818,33.411,376.4,231,4,0
USC00025494-120-3,USC00025494-120,USC00025494,3,AZ METEOR CRATER,-111.023,35.036,1687.1,231,4,0
USC00025494-160-4,USC00025494-160,USC00025494,4,AZ METEOR CRATER,-111.023,35.036,1687.1,231,4,0
USC00025494-161-1,USC00025494-161,USC00025494,1,AZ METEOR CRATER,-111.023,35.036,1687.1,231,4,0
USC00025494-233-2,USC00025494-233,USC00025494,2,AZ METEOR CRATER,-111.023,35.036,1687.1,231,4,0
USC00025512-120-3,USC00025512-120,USC00025512,3,AZ MIAMI  HCN,-110.87,33.404,1085.1,231,4,0
USC00025512-161-1,USC00025512-161,USC00025512,1,AZ MIAMI  HCN,-110.87,33.404,1085.1,231,4,0
USC00025512-233-2,USC00025512-233,USC00025512,2,AZ MIAMI  HCN,-110.87,33.404,1085.1,231,4,0
USC00025635-120-3,USC00025635-120,USC00025635,3,AZ MONTEZUMA CASTLE NM,-111.838,34.611,969.3,231,4,0
USC00025635-161-1,USC00025635-161,USC00025635,1,AZ MONTEZUMA CASTLE NM,-111.838,34.611,969.3,231,4,0
USC00025635-233-2,USC00025635-233,USC00025635,2,AZ MONTEZUMA CASTLE NM,-111.838,34.611,969.3,231,4,0
USC00025665-120-2,USC00025665-120,USC00025665,2,AZ MONUMENT VALLEY,-110.12,36.985,1676.7,231,4,0
USC00025665-161-1,USC00025665-161,USC00025665,1,AZ MONUMENT VALLEY,-110.12,36.985,1676.7,231,4,0
USC00025700-120-3,USC00025700-120,USC00025700,3,AZ MORMON FLAT,-111.442,33.554,519.7,231,4,0
USC00025700-160-4,USC00025700-160,USC00025700,4,AZ MORMON FLAT,-111.442,33.554,519.7,231,4,0
USC00025700-161-1,USC00025700-161,USC00025700,1,AZ MORMON FLAT,-111.442,33.554,519.7,231,4,0
USC00025700-233-2,USC00025700-233,USC00025700,2,AZ MORMON FLAT,-111.442,33.554,519.7,231,4,0
USC00025732-120-2,USC00025732-120,USC00025732,2,AZ MT LEMMON FIRE DEPT,-110.754,32.449,2403.7,231,4,0
USC00025732-160-3,USC00025732-160,USC00025732,3,AZ MT LEMMON FIRE DEPT,-110.754,32.449,2403.7,231,4,0
USC00025732-161-1,USC00025732-161,USC00025732,1,AZ MT LEMMON FIRE DEPT,-110.754,32.449,2403.7,231,4,0
USC00025735-120-1,USC00025735-120,USC00025735,1,AZ MT LEMMON SKI VALLEY,-110.78,32.449,2502.4,231,4,0
USC00025737-120-1,USC00025737-120,USC00025737,1,AZ MT LEMMON WILLOW CANYON,-110.698,32.386,2141.8,231,4,0
USC00025737-160-2,USC00025737-160,USC00025737,2,AZ MT LEMMON WILLOW CANYON,-110.698,32.386,2141.8,231,4,0
USC00025780-120-3,USC00025780-120,USC00025780,3,AZ MUND'S PARK,-111.639,34.936,1972.1,231,4,0
USC00025780-161-1,USC00025780-161,USC00025780,1,AZ MUND'S PARK,-111.639,34.936,1972.1,231,4,0
USC00025780-233-2,USC00025780-233,USC00025780,2,AZ MUND'S PARK,-111.639,34.936,1972.1,231,4,0
USC00025785-120-1,USC00025785-120,USC00025785,1,AZ MUSEUM OF NORTHERN ARIZONA,-111.661,35.235,2166.2,231,4,0
USC00025825-120-3,USC00025825-120,USC00025825,3,AZ NATURAL BRG,-111.453,34.322,1404.5,231,4,0
USC00025825-160-4,USC00025825-160,USC00025825,4,AZ NATURAL BRG,-111.453,34.322,1404.5,231,4,0
USC00025825-161-1,USC00025825-161,USC00025825,1,AZ NATURAL BRG,-111.453,34.322,1404.5,231,4,0
USC00025825-233-2,USC00025825-233,USC00025825,2,AZ NATURAL BRG,-111.453,34.322,1404.5,231,4,0
USC00025924-120-2,USC00025924-120,USC00025924,2,AZ NOGALES 6 N,-110.968,31.455,1054.9,231,4,0
USC00025924-160-3,USC00025924-160,USC00025924,3,AZ NOGALES 6 N,-110.968,31.455,1054.9,231,4,0
USC00025924-161-1,USC00025924-161,USC00025924,1,AZ NOGALES 6 N,-110.968,31.455,1054.9,231,4,0
USC00026037-120-3,USC00026037-120,USC00026037,3,AZ OAK CREEK CANYON,-111.755,34.96,1560,231,4,0
USC00026037-161-1,USC00026037-161,USC00026037,1,AZ OAK CREEK CANYON,-111.755,34.96,1560,231,4,0
USC00026037-233-2,USC00026037-233,USC00026037,2,AZ OAK CREEK CANYON,-111.755,34.96,1560,231,4,0
