DWD - Day Historical Data
relh/wspd/airtmax/airtmin
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  RELH  RELH  RELH  RELH  WSPD  WSPD  WSPD  WSPD  AIRTH AIRTH AIRTH AIRTH AIRTL AIRTL AIRTL AIRTL 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        %     %     %           m/s   m/s   m/s         C     C     C           C     C     C     
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++----++----++----+
00172   395     52.2486   9.5056 19690501 19911130     8249   8249  29.0 100.0 84.60     0-99.00-99.00-99.00  8249 -19.9  33.2 10.64  8249 -23.5  22.5  4.40
00174   250     49.1886   7.9766 19840301 19871231     1401   1401  35.0 100.0 77.80     0-99.00-99.00-99.00  1401 -12.5  34.0 13.03  1401 -18.5  20.4  5.11
00175   413     49.2964  10.5751 19520101 19760430     8887   8887  37.0  99.0 78.85   820  0.20  6.60  1.81  8887 -15.4  35.7 12.35  8887 -25.9  19.4  3.81
00177   418     49.3158  10.5815 19470501 19571031     3837   3837  39.0  99.0 78.46     0-99.00-99.00-99.00  3795 -15.2  38.0 13.20  3795 -26.5  19.6  3.42
00183    42     54.6792  13.4343 19470101 20151231    25202  25194  38.0 100.0 83.47 15521  0.10 25.60  7.44 25202 -11.0  31.3 10.65 25202 -18.9  22.1  6.06
00184    55     52.6769  12.0077 19470101 19660630     7121   6471  37.0 101.0 81.66     0-99.00-99.00-99.00  7107 -15.0  37.6 12.92  7116 -26.7  22.0  4.51
00185     3     54.6289   9.9294 19460101 19571231     4383   4322  52.0  98.0 83.62     0-99.00-99.00-99.00  4383 -10.1  31.2 11.73  4383 -21.7  19.2  5.12
00186   218     51.3773   8.0713 19470101 19980930    18901  18873  26.0 100.0 79.88     0-99.00-99.00-99.00 18899 -14.5  36.6 13.05 18894 -22.2  21.7  4.54
00191   220     49.9695   9.9113 19860401 20151231    10867  10864  27.0 100.0 76.71     0-99.00-99.00-99.00 10867 -11.8  39.3 14.76 10867 -23.4  20.1  4.43
00193   232     51.3845   9.0820 19680101 19971031    10897  10897  38.0 100.0 79.84  2708  0.00  5.30  1.45 10897 -15.5  35.6 12.52 10897 -24.0  18.9  3.70
00198   164     51.3745  11.2920 19540101 20151231    22645  22630  33.0 100.0 77.81 19939  0.00 16.40  3.51 22628 -16.9  38.9 13.38 22628 -24.2  21.3  4.98
00202   110     49.9778   9.1114 19470101 19511231     1826   1826  33.0  99.0 74.88     0-99.00-99.00-99.00  1826  -9.1  37.7 14.60  1826 -15.0  21.8  6.15
00207   105     51.7498  11.4667 19470101 19641231     6575   6575  32.0  99.0 77.64     0-99.00-99.00-99.00  6575 -18.6  37.3 12.90  6575 -25.8  20.0  4.50
