DWD - stnlist info sorted
                         
AJ_Kettle  20171010
                                        
N_stns     1059
                                        
Stnum St_date  En_date  Hght_m   Lat_deg  Lon_deg  N_lines 
+---+ +------+ +------+ +------+ +------+ +------+ +------+
13696 20071201 20151231    68     51.5968   7.4048     2953
13711 20071201 20151231   280     50.6813  11.5150     2953
03382 19451101 19531231   521     48.1441  11.6000     2983
07368 20071101 20151231   312     51.0007  10.3621     2983
07369 20071101 20151231   475     49.1623  10.3662     2983
07431 20071101 20151231   604     48.0130  11.5524     2983
13675 20071101 20151231    77     52.0817   9.4072     2983
13713 20071101 20151231   380     51.0899   7.6289     2983
07427 20070901 20151231    17     54.0188   9.9255     3044
06184 20000701 20090615     6     53.5333   8.1667     3059
00550 19940501 20020930   344     50.9041  11.7985     3075
13674 20070801 20151231   237     49.2942   8.9054     3075
04548 20070701 20151231   609     50.2046  12.1435     3106
00771 19470101 19551231   148     50.2769   9.1167     3122
13670 20070601 20151231    25     51.5088   6.7018     3136
02575 20070522 20151231   426     49.1804   9.9800     3146
00598 19490101 19570831    62     50.7285   7.0839     3165
05424 19910101 20151231   325     51.0176  11.3544     3167
07428 20070501 20151231   397     50.4166  10.8156     3167
07432 20070501 20151231    72     52.6425  10.6631     3167
00685 19980112 20061101   585     49.9017   9.4281     3185
07403 20070401 20151231   672     47.7955  10.0324     3190
07420 20070401 20151231   246     51.1044  11.7112     3197
05832 19460101 19541130    50     53.1007  11.0455     3256
01073 19360101 19521231   115     49.4686   8.1797     3257
03170 20000703 20100430     5     54.4937  11.2405     3279
02048 19510101 19591231     3     53.6342   9.6038     3287
03007 19470101 19551231    96     49.4111   8.3980     3287
05317 19490101 19571231   509     50.0097  12.2979     3287
07364 20070101 20151231    74     51.6820  12.3042     3287
00422 19560101 19641231    35     52.5333  13.3833     3288
00326 20040701 20130707   120     51.7204   8.0577     3294
07370 20061211 20151231   499     49.3909  12.6838     3308
00983 20061201 20151231   419     48.5562  10.5599     3318
07389 20061201 20151231    82     52.7461  13.8427     3318
07419 20061201 20151231   390     50.6610  12.0757     3318
07424 20061201 20151231   458     47.7724  12.9073     3318
04584 19700401 19790531   444     48.3667  11.8000     3348
07412 20061001 20151231   340     50.0083   9.4239     3379
03317 19750701 19840930    42     53.6128  10.6943     3380
04977 19930101 20020430    45     52.5447  11.9724     3407
03319 20060901 20151231   239     49.7645   9.2531     3409
07106 20060901 20151231   105     52.0714   8.4565     3409
04649 19470101 19560531   214     50.8698   7.3228     3439
03226 20060801 20151231   107     51.7259  11.5111     3440
07350 20060801 20151231   588     49.1087  12.8231     3440
00699 19490101 19580630     4     53.1004   8.7834     3468
04719 19980101 20070828   169     49.2447   8.8787     3497
00652 19490101 19580731   384     49.5353  10.7706     3499
03751 19880601 19971231   626     48.0449   9.8822     3501
05128 19810601 19901231   675     47.9552   8.7565     3501
07394 20060601 20151231   622     50.0315  11.9745     3501
03370 19950401 20041130   300     51.2076  10.3956     3532
01243 19760101 19850930   705     48.4734   9.3028     3561
07343 20060401 20151231   688     50.6199  13.4816     3562
07373 20060301 20151231     3     53.5984   6.7024     3593
07374 20060301 20151231    46     52.0814   6.9410     3593
01986 19780601 19880430     1     53.4699  10.1804     3622
01473 20060101 20151231   436     49.1780  11.3735     3652
02083 19490101 19581231   110     49.4192   8.6051     3652
02187 19530101 19621231   287     49.9281   9.2870     3652
01428 19480101 19571231   230     49.2275   8.0585     3653
02160 19910101 20001231   360     50.8444  10.6904     3653
02821 19480101 19571231   214     51.9603  10.0157     3653
03076 19470101 19561231    95     49.4606   8.4246     3653
04396 19510101 19601231   400     49.4672   7.2036     3653
05088 19910101 20001231     3     54.5337  13.2460     3653
03519 19931201 20031231   663     47.9519   8.9932     3683
06336 20051101 20151231   285     50.0133   9.6539     3713
07329 20051101 20151231   465     50.5457  12.2852     3713
07330 20051001 20151231   159     51.4634   7.9780     3739
04484 19610101 19710331    45     53.6615  10.2543     3742
07351 20050908 20151231   115     53.3175  13.4175     3767
03925 20050901 20151231   333     48.9318   8.6959     3774
07321 20050901 20151231   160     51.1509  11.3319     3774
07331 20050901 20151231   468     48.6099  10.2674     3774
07341 20050715 20151231   119     50.0900   8.7862     3820
07298 20050701 20151231     5     54.5268   9.0425     3836
00177 19470501 19571031   418     49.3158  10.5815     3837
07105 20050601 20151231   721     47.8349  12.6549     3866
02451 19910101 20010831    77     51.7954  12.9583     3896
06347 20050301 20151231   304     50.0578  10.2974     3958
07319 20050301 20151231   434     48.7351  10.7415     3958
04485 20050201 20151231   296     50.7252  10.4540     3986
06346 20050201 20151231   530     48.2070  11.2035     3986
07075 20050201 20151231   425     48.7021  11.8494     3986
00365 19911001 20020930   421     49.3311  11.4303     4018
00434 19470101 19601231    35     52.4553  13.4699     4018
00964 19520101 19621231   413     50.0832   6.8904     4018
02223 19910101 20011231   300     50.3674  10.5687     4018
02689 19500101 19601231    40     53.2279   9.6527     4018
03818 19560101 19661231    29     52.7167  11.7333     4018
05252 19470101 19571231   100     52.1030   9.5845     4018
06305 20041201 20151231   190     51.2065  10.4948     4048
06344 20041201 20151231   168     50.3940   8.1423     4048
07187 20041201 20151231   193     49.7636   9.4053     4048
00865 19600101 19710228    42     52.8441   8.0624     4077
00131 20041101 20151231   296     51.0880  12.9328     4078
06312 20041101 20151231   362     49.5314  10.6418     4078
07099 20041101 20151231   187     52.0111  10.3966     4078
03509 20041001 20151231    77     53.1020  13.0421     4109
06272 20041001 20151231   283     50.8426  10.2518     4109
05277 19980101 20090630   349     50.8113   9.1275     4117
00167 20040901 20151231     9     53.8412  13.6846     4139
06266 20040901 20151231   112     52.0305  10.9625     4139
04189 20040801 20151231   533     48.1479   9.4596     4170
06310 20040801 20151231     1     54.1049  13.8239     4170
06337 20040801 20151231    59     51.7663   7.5193     4170
03734 20040701 20151231   230     49.1280   9.3525     4201
04160 20040701 20151231   478     48.7425   8.9240     4201
06263 20040701 20151231   445     47.7738   8.8218     4201
06275 20040701 20151231   325     48.6705   9.4627     4201
00617 20040601 20151231    48     51.8728   6.8862     4231
05453 19920601 20031231   173     48.1880   7.6977     4231
06259 20040601 20151231   523     49.0210   9.6032     4231
06264 20040601 20151231   457     51.4143   8.6498     4231
06273 20040601 20151231    36     52.5072  11.8549     4231
02790 19700101 19810831   296     49.5592   7.4134     4261
02857 19470401 19581130   175     51.1173  10.6568     4262
06265 20040501 20151231    36     52.3613  12.3867     4262
02226 19910101 20020930   668     50.4707  10.9106     4291
04066 19861101 19990131   553     47.9091  11.1048     4293
06182 20000401 20120326   404     48.7757  12.1743     4378
00185 19460101 19571231     3     54.6289   9.9294     4383
00283 19480101 19591231   382     49.8808  10.8695     4383
01761 19470101 19581231   284     50.6500  12.2000     4383
04005 19460101 19571231   530     47.8588  12.3624     4383
04939 19470101 19581231   235     51.7333  11.1167     4383
05663 19790101 19901231   118     53.4618  13.6099     4383
05971 19510101 19630228   510     48.8787   9.6342     4442
03518 19811001 19931130   793     47.9760   8.9101     4444
03278 20030101 20151231   355     48.5376   9.2733     4455
05480 20030910 20151231    85     51.5765   7.8880     4496
02931 19590112 19720430   128     51.3920  12.3962     4514
05267 19630601 19751231    86     52.0722  11.0222     4597
04332 19470501 19591231   235     50.6563  11.3894     4628
02354 19470201 19591231   118     51.4379  14.2426     4717
05127 19910201 20031231   649     48.0083   8.8179     4717
02053 19630101 19751231   461     51.6868  10.8631     4748
02174 19911001 20151231   238     51.6254  10.3704     4748
06258 20030101 20151231   459     47.6845   9.4409     4748
00660 19480101 19601231    83     52.2744  10.5656     4749
01084 19940501 20070531    31     51.3940   6.7026     4779
01255 20021201 20151231   220     49.1664   8.8523     4779
06260 20021201 20151231   385     49.3325   9.7039     4779
06262 20021101 20151231   413     48.7695   9.8737     4809
05403 19911101 20041231   309     49.5900  10.2588     4810
02494 20000601 20130929    31     51.7329   6.2688     4869
00070 19730601 19860930   712     48.2052   9.0371     4870
00386 19730701 19861130   445     51.0454   8.3851     4870
02289 19530701 19661231    28     52.6667  12.3333     4932
05778 19910101 20040731     2     54.0801  13.8989     4961
02388 19900601 20031231   193     48.0419   7.6322     4962
01228 20000701 20151231     0     54.1651   6.3460     4995
01275 19670401 19801231   340     48.3008  13.1398     5024
01006 19471101 19610930    15     53.1399  11.2544     5083
05284 19780101 19911231   224     48.8279   9.3228     5113
00416 19820701 19960930    47     52.4069  13.4127     5114
00702 19480101 19611231     8     53.5876   8.6015     5114
01066 19630101 19761231   180     51.5040  10.2613     5114
02475 19670101 19801231    75     52.0006  13.1022     5114
02621 19560101 19691231    42     52.4036  13.2319     5114
02996 19470101 19601231   352     48.7726   8.7287     5114
04775 19520101 19651231   424     49.7858  11.8211     5114
05291 19480101 19611231  1005     47.9760   8.1558     5114
04438 19921201 20061231   317     49.9750  11.0395     5144
04729 19890701 20040229   342     50.2882   9.4583     5145
03045 19930501 20070630    27     52.7432   7.8763     5174
00970 19850401 19990630   405     49.4158  10.6734     5204
00931 19890801 20031231   708     47.8007   9.4108     5266
04166 19880501 20021231   360     48.5051   9.1833     5358
