DWD - Day Historical Data
snoacc                   
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  SNOAC SNOAC SNOAC SNOAC 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        cm    cm    cm    
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----+
01833  1307     49.0851  13.2801 19470101 19821031    13088  13075   0.0 270.0 36.39
01834   913     50.8519  10.4665 19510101 19780630    10043  10043   0.0 220.0 19.27
01844   517     47.9410  11.9000 19590101 19811231     8401   8401   0.0  69.0  2.56
01863   258     50.2667   9.1854 19950301 20151231     6089   5933   0.0  35.0  0.51
01869    56     53.3153  13.9338 19730101 20151231    15696   8614   0.0  61.0  1.11
01875   492     48.9354   9.7364 19510101 20021231    18993  18993   0.0  68.0  1.76
01890    30     53.7667  12.2167 19470101 19501231     1461      0 -99.0 -99.0-99.00
01891    73     51.8771   8.3577 19380101 20020331    21945  21914   0.0  40.0  0.36
01920   100     51.4129   7.4895 19780601 20071231    10806  10806   0.0  35.0  0.25
01957    93     51.5138  11.9499 19510101 20150322    23450  14666   0.0  33.0  0.68
01960   102     51.4831  11.9671 18510101 19661231    42368  39089   0.0  67.0  0.20
01964   328     49.9445   6.3821 19520101 20151231    22646  22258   0.0  36.0  0.43
01972    35     53.4793  10.2415 19120101 19620930    18536  15507   0.0  38.0  0.17
01973    14     53.5598   9.9874 19470101 19541231     2922   2922   0.0  25.0  0.32
01975    11     53.6332   9.9881 19360101 20151231    29220  28876   0.0  67.0  0.51
01979     2     53.4213  10.1462 19510101 20061231    16285  16285   0.0  36.0  0.38
01981     3     53.4777   9.8957 19620501 20151231    19603  19450   0.0  36.0  0.37
01986     1     53.4699  10.1804 19780601 19880430     3622   3622   0.0  38.0  0.75
01987    47     53.5467   9.9662 19560101 20000229    15917  15917   0.0  45.0  0.46
01990    18     53.5853  10.1293 19510101 20061231    20242  20242   0.0  55.0  0.47
01993    68     52.0848   9.3896 19400101 20071031    24746  24746   0.0  40.0  0.56
02000   106     50.1205   8.9243 19950601 19960930      488    488   0.0   3.0  0.08
02005   108     52.7199  10.5987 19610101 19941231    12418  12418   0.0  56.0  0.99
02014    55     52.4644   9.6779 19360101 20151231    28125  28125   0.0  51.0  0.45
02023   502     48.7918  10.7062 19980101 20151231     6442   1944   0.0  15.0  0.79
02039   201     51.9000  10.5701 19360101 20151231    27150  26840   0.0  75.0  1.28
02044   404     51.6520  11.1367 19470101 20151231    25200  13840   0.0 112.0  2.90
02048     3     53.6342   9.6038 19510101 19591231     3287   3287   0.0  40.0  0.52
02053   461     51.6868  10.8631 19630101 19751231     4748      0 -99.0 -99.0-99.00
02069   648     48.8629  13.0670 19360101 19750531     6728   6728   0.0 134.0  8.79
02074   522     48.3751   8.9801 19470101 20151231    24941  24785   0.0  46.0  0.82
02078    10     54.2181   9.0853 19370101 20020630    23891  23891   0.0  60.0  0.53
02080   110     49.4206   8.6676 19350101 20120911    27588  27093   0.0  50.0  0.34
02081   561     49.3981   8.7251 19360101 19601231     9132   9132   0.0  75.0  2.19
02083   110     49.4192   8.6051 19490101 19581231     3652   3652   0.0  28.0  0.33
02088   498     48.6765  10.1307 19470101 20050430    21154  21154   0.0  61.0  1.89
02092   496     50.1691   7.9949 19520201 19901231    14214  14214   0.0  48.0  1.56
02095   167     49.1448   9.2333 19470701 20031031    20577  20577   0.0  35.0  0.35
02110    57     51.0412   6.1041 19630101 20151231    19358  19145   0.0  45.0  0.18
02115     4     54.1750   7.8920 19520501 20151231    23255  23134   0.0  25.0  0.10
02120   140     52.2164  11.0219 19470301 20061231    21856  21856   0.0  65.0  0.78
02122     2     53.9701   9.0095 19510401 20020531    18689  18689   0.0  40.0  0.50
02147    77     52.1264   8.6865 19360101 20071231    25537  25537   0.0  46.0  0.48
02151   215     51.0048  10.1705 19470101 19910831    16314  16314   0.0  35.0  0.70
02159   430     48.5915   8.8541 19780401 19850331     2557   2557   0.0  28.0  1.06
02160   360     50.8444  10.6904 19910101 20001231     3653   3653   0.0  30.0  0.89
02166   344     51.0167  14.7500 19510101 19901231    14610  13879   0.0  79.0  2.13
02167   302     49.7672   7.3356 19480101 20120401    23468  19106   0.0  40.0  0.60
02171   272     50.8519   9.7378 19490101 20151231    24471  23340   0.0  42.0  0.68
02173    60     51.5890   7.1548 19760101 20071231    11688  11688   0.0  22.0  0.21
02174   238     51.6254  10.3704 19911001 20151231     4748   4595   0.0  31.0  0.65
02187   287     49.9281   9.2870 19530101 19621231     3652   3652   0.0  30.0  1.01
02201     1     54.5750  13.1044 19470101 20151231    14870   6874   0.0  58.0  0.59
02206   117     52.1408   9.8838 19530301 20080229    20089  20089   0.0  37.0  0.72
02211   295     50.7371   7.6528 19370101 20151231    28124  27966   0.0  55.0  0.92
02223   300     50.3674  10.5687 19910101 20011231     4018   4018   0.0  25.0  0.33
02225   385     50.9167  14.3667 19470101 19840930    13703  12201   0.0 120.0  4.07
02226   668     50.4707  10.9106 19910101 20020930     4291   4291   0.0  93.0  3.40
02250   403     49.1279  12.8645 19410101 20060731    23557  23557   0.0  85.0  2.43
02252   270     50.8990  14.7457 19470101 20151231     9087   5540   0.0  40.0  0.91
02260   474     50.3230  11.9077 19490101 20061231    20819  20819   0.0  64.0  1.91
02261   565     50.3122  11.8761 19470101 20151231    25202  25116   0.0  64.0  2.31
02268   263     50.1352  10.5156 19490101 20061231    20819  20819   0.0  25.0  0.50
02289    28     52.6667  12.3333 19530701 19661231     4932      0 -99.0 -99.0-99.00
02290   977     47.8009  11.0109 17810101 20151231    83639  32514   0.0 145.0  7.64
02302   317     50.9632  11.4847 19910101 19921231      731    731   0.0  20.0  0.31
02303    10     54.3146   9.5390 19811001 20151231    12509  12371   0.0  41.0  0.43
02306     8     54.3194  10.6732 19771101 20151231    13940  13787   0.0  45.0  0.54
02315    81     51.7657  13.1666 20000601 20151231     5691   5376   0.0  35.0  0.62
02318   397     50.2182   7.9133 19980801 20000131      549    549   0.0  22.0  0.90
02319   685     47.8823  11.6962 19821201 20151231    12084  11930   0.0  92.0  3.65
02323   110     51.8539   9.4964 19510101 20151231    18140  17914   0.0  49.0  0.71
02327   250     50.7316   9.0032 19510101 20000630    18048  18048   0.0  38.0  0.69
02331   235     49.3283   7.3561 19700101 20021231    12023  12023   0.0  30.0  0.42
02338    39     52.3333   7.5500 20000601 20050630     1856   1134   0.0   7.0  0.05
02344   582     50.1511  11.6980 19430101 19640331     7761   7761   0.0  58.0  2.98
02349  1119     48.6136   8.2034 19530101 20050831    19236  19236   0.0 290.0 17.51
02354   118     51.4379  14.2426 19470201 19591231     4717      0 -99.0 -99.0-99.00
02360   438     48.6018  11.6769 19360101 19780430    15461  15461   0.0  60.0  1.62
02362   328     50.5652   7.4839 19821001 20151231     8522   8365   0.0  38.0  0.82
02374     3     54.4752   9.0564 18910101 19740630    28274  28274   0.0  58.0  0.57
02385   376     49.6927   7.3264 20000701 20151231     5662   5369   0.0  37.0  0.61
02388   193     48.0419   7.6322 19900601 20031231     4962   4962   0.0  14.0  0.10
02396   260     51.8667  10.6833 19470101 19501231     1461      0 -99.0 -99.0-99.00
02406   209     49.2967   9.6520 19800701 20021130     8188   8188   0.0  23.0  0.49
02410   364     48.7112  11.5362 20000702 20151231     5633   3506   0.0  26.0  0.58
02417   621     48.1644  12.0307 19590101 19771231     6937   6937   0.0  70.0  2.75
02422   230     51.3768   7.7644 19380101 19780630    14061  14061   0.0  44.0  0.64
02429    21     53.9897   9.5696 20000601 20151231     5691   2603   0.0  26.0  0.40
02437    21     54.4550   9.5194 19980101 20151231     6546   5068   0.0  42.0  0.67
02444   155     50.9251  11.5830 18240101 20151231    68524  46840   0.0  40.0  0.66
02451    77     51.7954  12.9583 19910101 20010831     3896   3896   0.0  20.0  0.35
02456     7     53.5322   7.8806 19400101 20050826    23614  23585   0.0  56.0  0.40
02464     1     53.5316   9.6752 19510101 19901031    14549  14549   0.0  40.0  0.53
02474    91     50.9104   6.4093 19760101 20081231    12054  12054   0.0  35.0  0.21
02475    75     52.0006  13.1022 19670101 19801231     5114   5114   0.0  40.0  1.06
02480   107     50.0644   8.9932 19470101 20151231    25141  24934   0.0  30.0  0.30
02483   839     51.1803   8.4891 19550101 20151231    22280  22252   0.0 239.0 11.04
02485   489     48.9171   9.6872 20110501 20151231     1706   1117   0.0  35.0  1.07
02486   271     49.4262   7.7557 19010101 20151231    35947  22641   0.0  40.0  0.56
02488   516     48.7701  10.7876 19460101 20020930    20727  20727   0.0  61.0  1.53
02494    31     51.7329   6.2688 20000601 20130929     4869   4466   0.0  22.0  0.22
02497   505     50.5016   6.5262 19470101 20151231    24928  24775   0.0  55.0  1.13
02502   447     51.3176  10.1355 19510201 19561231     2161      0 -99.0 -99.0-99.00
02503   487     50.6266  10.1455 19510101 20030331    19065  13264   0.0  70.0  2.07
02506   270     51.2667  14.0833 19470101 19630831     6087      0 -99.0 -99.0-99.00
02521   374     48.6765  11.2961 19500101 19940331    16161  16161   0.0  43.0  0.80
02522   112     49.0382   8.3641 18760101 20081031    48183  26632   0.0  40.0  0.45
02532   231     51.2963   9.4424 19510101 20131031    22950  19806   0.0  39.0  0.73
02533   198     51.3340   9.4506 19460701 19770630    11323  11323   0.0  35.0  0.60
02542   716     47.8652  10.6007 19700501 20151231    16681  16528   0.0  90.0  2.05
02543   585     48.0916  10.8609 19680101 20081231    14886  14886   0.0  67.0  1.43
02546   141     48.5576   7.8800 19881001 20031231     5570   5570   0.0  22.0  0.14
02559   705     47.7233  10.3348 19520101 20151231    23376  22484   0.0  94.0  3.16
02564    27     54.3761  10.1433 19860601 20151231    10663  10227   0.0  43.0  0.39
02565    17     54.3378  10.0929 19400101 19880930    17380  17380   0.0  57.0  0.79
02575   426     49.1804   9.9800 20070522 20151231     3146   2993   0.0  40.0  1.04
02578    12     53.9995  11.4341 19550801 20151231    21703  20817   0.0  42.0  0.52
02597   282     50.2241  10.0792 19460101 20151231    25567  25037   0.0  34.0  0.66
02600   188     49.7363  10.1781 19821101 20151231    11992  11823   0.0  23.0  0.28
02601   826     50.2218   8.4469 19360101 20151231    28788  25043   0.0 112.0  4.90
02609    40     53.9587  10.3293 19740901 19810331     2404   2404   0.0  50.0  1.14
02618   732     50.8458  10.4803 19910101 20151231     9131   8970   0.0 106.0  6.91
02621    42     52.4036  13.2319 19560101 19691231     5114      0 -99.0 -99.0-99.00
02627   128     51.5554  13.8846 19960701 20151231     7123   6970   0.0  45.0  0.93
02629    46     51.7612   6.0954 19471111 20151231    24552  24399   0.0  35.0  0.22
02638   973     48.1054   8.7549 19470101 20151231    25199  21026   0.0  93.0  4.33
02641    85     51.5185  12.9065 19941001 20151231     7762   7609   0.0  27.0  0.48
02654   200     49.0265   8.7554 19490101 19831031    12357  12357   0.0  33.0  0.41
02657    85     50.3369   7.5992 19510101 20080131    20850  20850   0.0  23.0  0.16
02665    45     50.9615   6.9712 19360101 19841231    16225  16225   0.0  30.0  0.29
02667    92     50.8646   7.1575 19570901 20151231    21306  21306   0.0  25.0  0.23
02680   288     50.2840  10.4456 19510101 20151231    23741  23588   0.0  50.0  0.52
02689    40     53.2279   9.6527 19500101 19601231     4018   4018   0.0  24.0  0.57
02691   378     48.6707  11.2173 19940401 20081231     5389   5389   0.0  20.0  0.42
02700   416     48.8302  11.4872 19490101 20151231    24471  24317   0.0  48.0  1.04
02701   136     51.1329  11.7252 19470101 20070331     6026   4565   0.0  25.0  0.44
02703   496     51.8550   9.3239 19980101 20001010     1008     30   0.0   0.0  0.00
02704    76     51.7515  12.0079 19931001 20151231     8066   7913   0.0  30.0  0.44
02708   740     47.6652  11.0804 19910801 20151231     8906   8735   0.0  75.0  2.49
02712   443     47.6774   9.1901 19721101 20151231    15766  15765   0.0  41.0  0.44
02717   395     51.2662   8.8309 19890601 20051231     6027   6020   0.0  29.0  1.02
02750   312     50.2524  11.3208 19490101 20151231    24106  23953   0.0  45.0  1.03
02761   520     48.2510  10.4163 19510101 19901031    14549  14549   0.0  55.0  1.46
02770    35     53.9015  10.2359 19730701 19740831      427    427   0.0  17.0  0.32
02773   417     49.4283  11.9016 20000701 20151231     5662   5306   0.0  35.0  1.03
02775   225     49.2795   9.6925 19460101 19800630    12600  12600   0.0  33.0  0.59
02780   330     50.1003  11.4494 19600101 19820531     8187   8187   0.0  43.0  1.58
02783   436     48.5126  12.1513 19660901 19920831     9497   9497   0.0  35.0  1.11
02790   296     49.5592   7.4134 19700101 19810831     4261   4261   0.0  38.0  0.75
02794    40     52.9363  12.4093 19860601 20151231    10800   1666   0.0  19.0  0.91
02796    40     53.9156  12.2790 20000601 20151231     5692   5325   0.0  42.0  0.73
02812   155     48.3647   7.8280 19500101 20151231    23649  19900   0.0  40.0  0.35
02814   685     48.5121   9.7645 19490101 20151231    23922  23755   0.0  90.0  2.94
02821   214     51.9603  10.0157 19480101 19571231     3653   3653   0.0  40.0  1.47
02829   621     48.0772  10.9144 20000601 20151231     5692   5270   0.0 109.0  1.46
02830   602     48.0349  10.8709 19500101 19671231     6574   6574   0.0  47.0  2.03
02831   393     48.5357  12.1132 19470111 20080331    13291  13290   0.0  39.0  1.01
02856    91     51.9173  13.0878 19930601 20151231     8249   7127   0.0  33.0  0.48
02857   175     51.1173  10.6568 19470401 19581130     4262      0 -99.0 -99.0-99.00
02861     5     53.7445   7.4775 19510101 19860630    12965  12965   0.0  29.0  0.36
02872    15     52.8457   7.3489 19470101 19501231     1461   1461   0.0  14.0  0.20
02878   119     51.3912  11.8785 19510101 20070430    20574  19023   0.0  32.0  0.52
02879   199     49.5781   9.7142 19490101 19851231    13149  13149   0.0  24.0  0.43
02886   539     48.2176   9.9097 20000701 20151231     5655   5190   0.0  32.0  0.80
02905   550     48.1849  10.8507 20000601 20151231     5691   5153   0.0  58.0  1.08
02906     5     54.7750   8.9808 19510101 19750228     8825   8825   0.0  39.0  0.72
02907     7     54.7903   8.9514 19741101 20151231    15036  11074   0.0  58.0  0.47
02912     9     54.7419   9.8791 19560301 19741130     6849   6849   0.0  22.0  0.46
02915   640     50.4833  11.4500 19470101 19611231     5479      0 -99.0 -99.0-99.00
02920   365     48.7654  12.5121 19780901 19970630     6848   6848   0.0  30.0  0.73
02923   663     47.9116  10.6124 19550101 19700531     5630   5600   0.0  45.0  2.78
02925   356     51.3933  10.3123 19570101 20151231    21549  17252   0.0  38.0  1.16
02928   138     51.3151  12.4462 18631201 20151231    50069  42747   0.0  43.0  0.50
02931   128     51.3920  12.3962 19590112 19720430     4514   2567   0.0  28.0  0.79
02932   131     51.4348  12.2396 19340101 20151231    21708  21640   0.0  52.0  0.61
02947   286     51.1334   8.0352 19620401 20151231    19633  19476   0.0  59.0  0.95
02949   758     48.5396   9.5275 19470801 20020131    19848  19848   0.0 122.0  2.92
02950    14     54.2190  10.8844 19620401 20061231    16346  16346   0.0  65.0  0.80
02951    20     53.1007  11.4864 19941001 20151231     7762   7609   0.0  33.0  0.43
02961     5     54.4996  10.2737 19980101 20151231     6521      1   0.0   0.0  0.00
02963    92     51.3167  12.0333 19470101 19661231     7305   7305   0.0  39.0  0.66
02968    43     50.9895   6.9779 19450101 20151231    25590  23781   0.0  23.0  0.13
02985   321     50.9383  14.2093 19940601 20151231     7884   6829   0.0  47.0  1.80
02996   352     48.7726   8.7287 19470101 19601231     5114   2549   0.0  65.0  1.72
03001   284     48.0674   7.6770 19650101 19900531     9282   9282   0.0  42.0  0.46
03004   185     50.4116   8.0605 19490101 19990630    16039  16039   0.0  35.0  0.32
03007    96     49.4111   8.3980 19470101 19551231     3287   3111   0.0  19.0  0.19
03015    98     52.2085  14.1180 19060401 20151231    40087  23741   0.0  45.0  0.86
03016   760     47.5980   9.8878 19700601 19880430     6544   6544   0.0 127.0  9.62
03018   445     49.7117   8.7804 19730401 20051231    11963  11963   0.0  50.0  1.50
03023    22     52.5181   7.3081 19510101 20151231    23741  23266   0.0  33.0  0.27
03028   157     51.7855   8.8388 19510101 20151231    23741  23523   0.0  42.0  0.60
03031    92     51.6334   8.3943 19801201 20151231    12814  12435   0.0  26.0  0.24
03032    26     55.0110   8.4125 19370101 20151231    27759  26725   0.0  50.0  0.31
03034   500     50.4505  11.6350 19910101 20151231     9131   8978   0.0  50.0  2.11
03042   230     50.5617   8.2386 19930701 20151231     8219   8066   0.0  45.0  0.81
03044    22     52.7216   7.7463 19460101 20151231    20393  20240   0.0  37.0  0.40
03045    27     52.7432   7.8763 19930501 20070630     5174   5174   0.0  11.0  0.14
03056   161     50.0103   9.6100 19470101 20051031    21489  21489   0.0  32.0  0.40
03062   100     50.0352   7.8197 19510101 19890531    14001  14001   0.0  29.0  0.31
03076    95     49.4606   8.4246 19470101 19561231     3653   3653   0.0  25.0  0.35
03082    56     51.9333  13.8833 19730101 19741231      730    730   0.0  16.0  0.23
03083    57     51.9267  13.8797 19911001 20151231     8858   8704   0.0  42.0  0.57
03085    15     53.8773  10.6915 19500301 19850228    12784  12784   0.0  44.0  0.86
03086    16     53.8025  10.6988 19850301 20151231    11263   7770   0.0  50.0  0.55
03088     5     53.8953  10.7040 18900101 19730630    28305  17126   0.0  45.0  0.91
03093    17     52.9724  11.1374 19541201 20151231    22311  18929   0.0  35.0  0.50
03096   444     51.2131   7.6359 19400101 19951231    20058  20027   0.0  70.0  2.09
03098   387     51.2452   7.6425 19940101 20151231     8035   7299   0.0  56.0  1.08
03101    58     51.7694   7.4128 19500101 19950930    15248  15248   0.0  23.0  0.31
03103    11     53.2657  10.4240 19470501 19971231    18508  18508   0.0  45.0  0.48
03113   528     50.7663  10.7201 19910101 19910731      212    212   0.0  26.0  1.29
03126    76     52.1029  11.5827 19470101 20151231    25202  25202   0.0  38.0  0.67
03135   473     49.0643   9.5820 19550501 19830331    10076  10076   0.0  80.0  1.98
03137   195     49.9656   8.2139 19480101 20151231    24806  22597   0.0  25.0  0.25
03139   509     48.2166  11.2965 19831101 20041231     7732   7732   0.0  37.0  0.88
03147   418     48.7726  12.2177 19530101 20151231    18109  17956   0.0  50.0  0.75
03155   413     50.1015   6.8009 19611101 20151231    19722  19325   0.0  40.0  0.73
03158    12     52.5468  14.5452 19850101 20151231    11225   7144   0.0  38.0  0.49
03160   240     51.6084  11.4139 19520101 19801231    10076   8918   0.0  49.0  1.22
03164   182     50.8492   8.7746 19460101 20151231    22586  22403   0.0  34.0  0.57
03166   639     50.6510  13.1469 19560101 20151231    20452   9643   0.0 111.0  4.32
03167   547     50.6620   7.9602 19621201 20151231    19389  18593   0.0  84.0  2.98
03170     5     54.4937  11.2405 20000703 20100430     3279    278   0.0   0.0  0.00
03196    81     53.3223  11.9319 19470101 20151231    25202  18939   0.0  39.0  0.79
03204   427     50.7334  10.8815 19910101 20151231     9131   8978   0.0  52.0  1.48
03211  1011     48.9359  13.5747 19420101 19561231     5449   5398   0.0 208.0 24.26
03212   230     50.3249   7.2300 19610101 20021231    15218  15218   0.0  42.0  0.44
03222    60     52.3411   9.1403 19610101 19781231     6574   6574   0.0  34.0  0.40
03223   460     47.6985   9.2753 19470101 19770930    11231  11215   0.0  40.0  0.43
03226   107     51.7259  11.5111 20060801 20151231     3440   3287   0.0  29.0  0.57
03228   506     51.0976   7.6670 19790801 19951231     5997   5997   0.0  78.0  2.58
03231   450     50.5612  10.3771 19790101 20151231    13514  13364   0.0  70.0  1.59
03234   157     51.1294  13.4327 19560601 20151231    19265  19078   0.0  60.0  0.99
03236    89     52.2044   8.3382 19860701 20011231     5663   5663   0.0  20.0  0.18
03244   615     47.9820  10.1384 19610101 20151231    20057  19903   0.0  68.0  1.69
03245   630     47.9833  10.2333 20000701 20021120      852    390   0.0  11.0  0.35
03246   181     50.3667   7.3167 20000701 20070613     2529   2007   0.0  11.0  0.11
03254    19     52.7156   7.3176 20000702 20151231     5656   3649   0.0  24.0  0.22
03257   250     49.4773   9.7623 19470101 20151231    25202  25049   0.0  31.0  0.47
03268   920     48.1875   8.9938 20000601 20151231     5600   4405   0.0 100.0  4.71
03271   313     48.8548  12.9187 19410101 20151231    27393  27237   0.0  67.0  2.39
03278   355     48.5376   9.2733 20030101 20151231     4455   4302   0.0  29.0  0.62
03284   240     49.6691   9.0085 19870101 20151231    10592  10362   0.0  41.0  0.38
03287   453     49.7176   9.0997 19871001 20151231    10319   9890   0.0  55.0  0.84
03289   355     50.7281  11.7838 19910101 20151231     8096   7943   0.0  41.0  1.01
03291   128     49.7120   9.2258 19801101 20031231     8461   8461   0.0  19.0  0.23
03300   155     50.2285   9.1064 19740501 19930331     6910   6910   0.0  25.0  0.37
03307   981     47.4778  11.2654 19460101 20151231    25506  25414   0.0 152.0  7.17
03313   508     49.7328   8.7771 19360901 19720331    10074  10074   0.0  60.0  1.79
03317    42     53.6128  10.6943 19750701 19840930     3380   3380   0.0  47.0  1.07
03319   239     49.7645   9.2531 20060901 20151231     3409   3222   0.0  23.0  0.34
03320    49     51.1970   6.4499 19350101 19530531     5874   5483   0.0  29.0  0.30
03340   265     50.4383   7.8061 19380101 20151231    10837  10665   0.0  41.0  0.61
03348   240     51.7209   9.8352 19900701 20151231     9315   9161   0.0  35.0  0.74
03362   244     48.9721   8.8734 19980101 20151231     6513   1570   0.0  22.0  0.59
03366   406     48.2791  12.5024 19530101 20151231    23010  21885   0.0  55.0  1.29
03370   300     51.2076  10.3956 19950401 20041130     3532   3532   0.0  22.0  0.51
03376    63     52.5176  14.1232 19490101 20151231    24320  19449   0.0  55.0  0.79
03379   515     48.1631  11.5429 19540601 20151231    22494  21911   0.0  55.0  1.05
03382   521     48.1441  11.6000 19451101 19531231     2983   2983   0.0  42.0  1.61
03383   515     48.1635  11.5019 18790101 19541231    26878   7955   0.0  73.0  3.56
03385   515     48.1660  11.5011 19550101 19990331    16161  16161   0.0  60.0  1.41
03388   542     48.0919  11.6486 19940201 19970131     1096   1096   0.0  14.0  0.64
03390   529     48.1369  11.7094 19400101 19920516    17975  17975   0.0  56.0  1.63
03402   750     48.3851   9.4837 19460101 20151231    25567  25368   0.0  84.0  3.14
03404    62     51.9494   7.5906 18910101 19911231    36159  20697   0.0  38.0  0.59
03425   344     48.9729   9.5708 19510101 20040531    19420  19420   0.0  53.0  1.05
03426   125     51.5660  14.7009 19480401 20151231    15980  14770   0.0  65.0  1.13
03432   380     48.5665   8.7184 19490101 19950331    16860  16860   0.0  55.0  0.74
03442   149     50.3574   8.7506 19470101 20151231    23923  22974   0.0  33.0  0.46
03478    81     53.5468  13.1914 19760701 20050228    10470   9740   0.0  50.0  0.70
03484   380     48.7097  11.2096 20000701 20151231     5662   5119   0.0  27.0  0.60
03485   486     48.3116  10.3771 19910601 20151231     8980   8827   0.0  45.0  0.75
03486   212     49.2931   9.2722 19490101 20041231    20454  20454   0.0  42.0  0.53
03490   111     50.5346   7.0853 19480101 20151231    24807  24654   0.0  41.0  0.27
03509    77     53.1020  13.0421 20041001 20151231     4109   3956   0.0  55.0  1.02
03512   820     50.5000  11.1500 19550101 19771231     8401   4383   0.0 115.0 10.11
03513   845     50.5002  11.1344 19890501 20151231     9741   9740   0.0 137.0 10.27
03518   793     47.9760   8.9101 19811001 19931130     4444   4444   0.0  55.0  2.75
03519   663     47.9519   8.9932 19931201 20031231     3683   3683   0.0  41.0  1.38
03527   500     50.8924   9.4053 19470101 20151231    25202  25048   0.0  61.0  1.73
03532     4     54.3609  10.6015 19510101 19761130     9466   9466   0.0  34.0  0.58
03537    26     54.0873   9.9791 19360101 20070831    25371  25371   0.0  70.0  0.72
03540   195     50.8446   7.3720 19920901 20151231     8522   8367   0.0  35.0  0.29
03541   185     50.8956   7.3081 19620801 19920229    10805  10805   0.0  41.0  0.71
03545   236     49.3436   7.2295 19700101 20151231    15463  15211   0.0  24.0  0.29
03552    38     52.9037  12.8072 19610101 20151231    20087  17591   0.0  46.0  0.51
03565   315     49.5728  10.6001 19470101 20020131    20067  20067   0.0  29.0  0.83
03571   452     49.8174  11.8638 20080301 20151231     2862   2709   0.0  46.0  1.42
03575   163     49.3570   8.1405 19510101 19821231    11688  11688   0.0  32.0  0.31
03576   125     49.3478   8.1822 19760101 20021031     9801   9801   0.0  27.0  0.31
03577    64     53.3585  13.0502 19470101 19760630    10774  10043   0.0  39.0  0.87
03578   341     48.9832  12.1443 19811001 20061231     9223   9223   0.0  26.0  0.62
03590   180     50.2335   8.8923 19610101 20050930    16344  16344   0.0  29.0  0.35
03591   350     50.6744   6.4237 19940101 20151231     8035   7882   0.0  52.0  0.60
03595   250     50.4107   7.8080 19660501 20030630    13575  13575   0.0  32.0  0.63
03603   473     49.3895   9.9666 20000701 20151231     5634   5290   0.0  35.0  0.99
03605   451     48.5334  10.2430 19510101 19801031    10897  10897   0.0  77.0  1.33
03612    25     52.6711   9.2229 19470101 20151231    25141  24987   0.0  53.0  0.43
03621   435     48.8254  10.5066 19470101 20151231    25202  25049   0.0  40.0  0.71
03623   111     50.8294   6.6602 20000701 20151231     5601   5154   0.0  29.0  0.19
03631    11     53.7123   7.1519 19470101 20151231    25202  25054   0.0  65.0  0.27
03639    25     53.7647   8.6583 20000701 20151231     5662   5361   0.0  29.0  0.34
03640    24     52.4124   7.0640 19360101 20061231    24717  24687   0.0  30.0  0.25
03659   627     50.3391   6.9501 19470101 19950228    17591  17591   0.0 101.0  2.30
03660   485     50.3601   6.8697 19950306 20151231     7606   7584   0.0  33.0  0.78
03666   335     49.5008  11.1070 19360101 19741231    13696  13696   0.0  37.0  1.05
03667   368     49.4258  11.2538 19750101 20151231    14639  14486   0.0  40.0  0.78
03668   314     49.5030  11.0549 19550401 20151231    22190  22190   0.0  26.0  0.57
03671   280     48.6321   9.3261 19550101 19910331    13239  13239   0.0  42.0  0.59
03672   457     48.6207   8.8962 19480501 19541231     2436   2436   0.0  47.0  0.75
03679   518     47.6185  12.1666 19470101 20151231    22854  22685   0.0 135.0  5.01
03705   480     48.3147   8.5735 19820701 20041231     8190   8190   0.0  56.0  1.06
03722   484     48.2443  11.5528 19760401 20060531    11018  11018   0.0  50.0  1.21
03730   806     47.3986  10.2760 19360101 20151231    29128  28973   0.0 180.0 10.73
03734   230     49.1280   9.3525 20040701 20151231     4201   4018   0.0  33.0  0.34
03735   455     48.2635  12.2760 19360701 19581231     7765   7765   0.0  61.0  1.88
03739   596     49.4521  12.4366 19481001 20151231    24563  24277   0.0  70.0  2.49
03744   125     51.6018   9.5383 19711201 19750630     1308   1308   0.0  30.0  0.19
03751   626     48.0449   9.8822 19880601 19971231     3501   3501   0.0  27.0  0.64
03752  1014     50.0300  11.8074 19590901 19820930     8431   8431   0.0 220.0 21.32
03753    56     52.2042   7.1784 19640101 19930331    10683  10683   0.0  25.0  0.29
03761   276     49.2070   9.5175 19470101 20151231    25202  24583   0.0  45.0  0.60
03776   110     50.0946   8.7546 19571101 19951031    13119  13119   0.0  35.0  0.35
03777   153     48.4593   7.9255 19580101 20031231    16801  13879   0.0  30.0  0.22
03788   305     50.8646  14.7628 19600601 19851231     9345   9345   0.0  48.0  1.36
03790     5     53.1018   8.2516 19470101 19890930    15614  15614   0.0  35.0  0.50
03791    11     53.1763   8.1824 19891001 20120930     8401   7884   0.0  19.0  0.18
03811   150     51.2960  13.0928 19780101 20151231    13879  12753   0.0  46.0  0.75
03815    95     52.2553   8.0534 19520201 20101130    21488  18198   0.0  42.0  0.49
03818    29     52.7167  11.7333 19560101 19661231     4018      0 -99.0 -99.0-99.00
03821   246     51.0873  11.9292 19840801 20151231    11456   2292   0.0  62.0  2.01
03825   338     49.5033   7.2773 19610101 19771231     6209   6209   0.0  32.0  0.73
03836   312     50.4538  10.2210 19720501 20151231    14065  13911   0.0  38.0  0.76
