DWD - Day Historical Data
snoacc                   
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  SNOAC SNOAC SNOAC SNOAC 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        cm    cm    cm    
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----+
00395    38     52.4167  13.4833 19480701 19531231     2010      0 -99.0 -99.0-99.00
00399    37     52.5206  13.4106 19810101 20141231    12312    465   0.0  17.0  0.36
00400    60     52.6309  13.5022 19610101 20151231    20088  10985   0.0  39.0  0.60
00402    55     52.4564  13.2997 18760101 19621231    31586  31586   0.0  44.0  0.51
00403    51     52.4537  13.3017 19500101 20151231    24106  24106   0.0  49.0  0.81
00405    37     52.4500  13.6500 19510401 19541231     1371      0 -99.0 -99.0-99.00
00407    48     52.6461  13.2858 19580101 19780331     7395   7395   0.0  26.0  0.64
00408    35     52.5333  13.3833 19481201 19511130     1095      0 -99.0 -99.0-99.00
00410    33     52.4040  13.7309 19960601 20151231     7153   7000   0.0  46.0  0.58
00416    47     52.4069  13.4127 19820701 19960930     5114   5114   0.0  23.0  0.43
00417    43     52.4144  13.3036 19360101 19561031     7215   7215   0.0  40.0  0.74
00420    60     52.5447  13.5598 19930501 20151231     6972   6819   0.0  32.0  0.48
00422    35     52.5333  13.3833 19560101 19641231     3288      0 -99.0 -99.0-99.00
00424    36     52.5000  13.4667 19540101 19801231     9862   4748   0.0  34.0  0.70
00425    38     52.4044  13.4838 19590101 19820630     8582   8582   0.0  43.0  1.05
00427    46     52.3807  13.5306 19670101 20151231    17897  17166   0.0  42.0  0.61
00429    32     52.5667  13.1694 19861001 19870131      123    123   0.0  22.0  4.24
00430    36     52.5644  13.3088 19630101 20151231    19358  19358   0.0  47.0  0.63
00432    36     52.6044  13.2952 19780401 19941231     6088   6088   0.0  63.0  0.97
00433    48     52.4675  13.4021 19480101 20151231    24837  22221   0.0  55.0  0.62
00434    35     52.4553  13.4699 19470101 19601231     4018      0 -99.0 -99.0-99.00
00435    45     52.4289  13.2327 19640101 20061231    15706  15706   0.0  52.0  0.65
00445    84     51.8218  11.7109 18980101 20151231    32322  32158   0.0  40.0  0.57
00450   120     49.9186   7.0664 19450101 20121203    24809  24671   0.0  20.0  0.16
00460   363     49.2640   6.6868 19510101 20151231    23723  18961   0.0  37.0  0.51
00474   599     48.1252   9.7639 19590101 19860930    10135  10135   0.0  40.0  1.31
00480   296     50.9275   8.4935 19450101 20061231    22263  22217   0.0  50.0  0.90
00502   412     49.8747   9.4883 19670801 20061231    14398  14398   0.0  51.0  1.60
00524    80     51.6333  12.3167 19470101 19921231     8036   8036   0.0  32.0  0.50
00526   254     50.6738  11.2805 19510101 19751231     9131    365   0.0  10.0  0.45
00535   417     50.0372   7.3079 19470101 20151231    24074  23921   0.0  49.0  0.83
00550   344     50.9041  11.7985 19940501 20020930     3075   3074   0.0  22.0  0.80
00553    25     51.8380   6.6107 19540101 19740831     7548   7548   0.0  34.0  0.23
00554    23     51.8293   6.5365 19470101 20060228    14061  12755   0.0  19.0  0.15
00555   101     51.4789   7.2697 19400101 20151231    15826  11561   0.0  28.0  0.44
00576   445     48.6759   8.9732 19870801 20031231     5997   5997   0.0  28.0  0.38
00578   379     48.9451  11.3667 19510301 19661231     5785   5785   0.0  37.0  1.18
00588   105     51.7520   9.3953 19920501 19960731     1553   1553   0.0  12.0  0.20
00591    45     53.3911  10.6878 19470101 20151231    25202  18637   0.0  49.0  0.67
00592    10     53.8634   9.7344 19460101 19621231     6209   6209   0.0  26.0  0.36
00596    15     54.0028  11.1908 19470101 20151231    25202  24015   0.0  52.0  0.43
00598    62     50.7285   7.0839 19490101 19570831     3165   3165   0.0  23.0  0.16
00599    62     50.7055   7.1467 19321001 19990301    22858  13187   0.0  25.0  0.27
00603   159     50.7349   7.1931 20000701 20151231     5640   1905   0.0  12.0  0.32
00606   569     48.0791  10.1977 19500101 19540731     1673   1673   0.0  33.0  1.54
00614   240     51.5709   9.3120 19510101 20071231    17471  17471   0.0  39.0  0.68
00617    48     51.8728   6.8862 20040601 20151231     4231   4048   0.0  24.0  0.24
00619    12     53.5788   6.6703 19470101 20060228    21578  21578   0.0  35.0  0.25
00642     1     53.3517   8.4969 19660101 19931031    10135  10135   0.0  44.0  0.39
00643     0     53.2960   8.4529 19931101 19941231      426    426   0.0   1.0  0.01
00645    58     52.4036   7.9724 19470101 19520131     1857   1857   0.0  20.0  0.21
00648     9     53.8551   9.7152 19630501 20061231    15951  15951   0.0  35.0  0.43
00650    35     52.4136  12.5503 19480701 20010430    15645  15645   0.0  44.0  0.69
00652   384     49.5353  10.7706 19490101 19580731     3499   3499   0.0  32.0  0.87
00656   607     51.7234  10.6021 19360101 20151231    28390  23756   0.0 160.0  9.51
00660    83     52.2744  10.5656 19480101 19601231     4749   4749   0.0  30.0  0.46
00661    75     52.2708  10.5334 18910101 19531231    21457   8373   0.0  60.0  1.68
00662    81     52.2914  10.4465 19610101 20151231    20088  19097   0.0  36.0  0.56
00685   585     49.9017   9.4281 19980112 20061101     3185     30   0.0   0.0  0.00
00691     4     53.0445   8.7985 18900101 20151231    45714  31853   0.0  68.0  0.46
00699     4     53.1004   8.7834 19490101 19580630     3468   3378   0.0  25.0  0.28
00701     7     53.5332   8.5761 19490101 20151231    24471  23591   0.0  37.0  0.33
00702     8     53.5876   8.6015 19480101 19611231     5114   5114   0.0  26.0  0.33
00703     5     53.4779   9.1553 19370101 19850531    17652  17652   0.0  53.0  0.69
00704    10     53.4451   9.1390 19980101 20151231     6574   1569   0.0  29.0  0.80
00705     5     53.5312   9.1664 19850601 20061231     7884   7884   0.0  23.0  0.15
00706   234     47.8858   7.6611 19710501 20041231    12238  12238   0.0  41.0  0.22
00710   181     49.0250   8.6991 19831101 20031231     7366   7366   0.0  25.0  0.35
00717   443     51.3873   8.5737 19370101 20040630    24227  24223   0.0  85.0  2.41
00722  1134     51.7986  10.6183 19470911 20151231    24949  24949   0.0 380.0 37.54
00727   290     49.7345   8.9557 19580101 19861231    10592  10592   0.0  41.0  0.70
00729   600     50.8282  10.4540 19470101 19801231    10593   8036   0.0 153.0  7.92
00736   390     49.6303   7.1148 19470101 19991231    18293  18293   0.0  47.0  1.00
00738   310     50.3080   9.7835 19690501 19840831     5512   5512   0.0  35.0  1.19
00755   340     49.5182   9.3213 19350101 20151231    28733  28073   0.0  54.0  0.94
00757   445     47.9625   7.9983 19901001 20151231     9223   9070   0.0  48.0  0.71
00760    82     53.3635   9.9434 19760601 20040531    10227  10227   0.0  56.0  0.68
00766   477     50.1746   7.0595 20000701 20151231     5662   4936   0.0  38.0  0.78
00769    68     52.2817   9.0889 19790101 20151231    13440  13307   0.0  34.0  0.35
00771   148     50.2769   9.1167 19470101 19551231     3122   3091   0.0  17.0  0.26
00772   190     48.6957   8.1744 19470101 19860430    14334  14334   0.0  51.0  0.44
00773   478     48.6743   8.1799 19860501 20041231     6820   6820   0.0  90.0  1.16
00793   530     49.6620   7.1098 19920101 19941031     1035   1035   0.0  15.0  0.29
00817   293     51.0306   8.8146 19521001 20151231    22978  22815   0.0  43.0  0.79
00840   897     50.4313  12.6114 19950301 20151231     7606   3874   0.0 162.0 14.01
00848    38     52.6146  10.0726 19400101 19781231    12785  12785   0.0  28.0  0.48
00850    39     52.5959  10.0296 19790101 20151231    13489  13245   0.0  55.0  0.49
00851   389     49.2504  12.6040 19480201 19960430    17622  17594   0.0  44.0  1.25
00853   418     50.7913  12.8720 18820101 20151231    41545  38721   0.0  66.0  1.47
00856   551     47.8843  12.5404 19980101 20151231     6491   1561   0.0  26.0  1.50
00863   585     51.7904  10.3470 18900101 20120404    42078  30710   0.0 164.0  8.31
00865    42     52.8441   8.0624 19600101 19710228     4077   4051   0.0  36.0  0.72
00867   345     50.3067  10.9680 19470101 20151231    25200  21805   0.0  49.0  1.09
00876   314     51.3000  13.0167 19470101 19881231    13880  10227   0.0  65.0  1.63
00879    68     51.7667  14.2833 20000701 20030331      995    571   0.0  12.0  0.21
00880    69     51.7760  14.3168 18870101 20151231    43795  43271   0.0  41.0  0.71
00881   423     49.0985  10.0979 19500101 20031231    19634  19620   0.0  41.0  1.01
00888   269     50.8149  12.3821 19650101 19911216     6180   5084   0.0  46.0  1.38
00891     5     53.8713   8.7058 19460101 20151231    25567  25567   0.0  57.0  0.34
00896   170     51.0778  10.8619 19910101 20151231     9131   8978   0.0  34.0  0.38
00917   162     49.8809   8.6779 19950801 20151231     7457   7253   0.0  24.0  0.30
00918   122     49.8453   8.6240 19871001 19950731     2861   2861   0.0  29.0  0.18
00919   169     49.8697   8.6796 19370203 19740731    13693  13693   0.0  41.0  0.52
00931   708     47.8007   9.4108 19890801 20031231     5266   5266   0.0  35.0  0.92
00948    60     51.8512  12.2515 19470101 19501231     1461      0 -99.0 -99.0-99.00
00953   481     49.7619   7.0541 19500801 20151231    23888  18907   0.0  60.0  0.99
00954     0     54.1667   7.4500 19980101 20151231     5743      1   0.0   0.0  0.00
00963    39     52.5881   8.3424 19520901 20151231    23132  22980   0.0  30.0  0.32
00964   413     50.0832   6.8904 19520101 19621231     4018   3998   0.0  28.0  0.77
00965   100     51.2401  13.4166 19480601 19900630    15370  14400   0.0  38.0  0.66
00970   405     49.4158  10.6734 19850401 19990630     5204   5204   0.0  22.0  0.53
00979   314     50.7364   8.2672 19470801 20151231    24901  24748   0.0  45.0  0.66
00982   420     48.5701  10.4985 19470501 20061130    21764  21759   0.0  50.0  0.85
00983   419     48.5562  10.5599 20061201 20151231     3318   3165   0.0  20.0  0.31
00991   365     50.9117  13.7087 19540901 20151231    22293  22114   0.0 221.0  1.52
01000     3     54.1442  11.8454 19910701 19970831     2254   2208   0.0  16.0  0.26
01001    97     51.6451  13.5747 19480701 20151231    24653  16002   0.0  50.0  0.76
01003   201     51.1333  13.1167 19470101 19661231     7305   7305   0.0  44.0  0.54
01006    15     53.1399  11.2544 19471101 19610930     5083      0 -99.0 -99.0-99.00
01032   120     51.5120   7.5345 19500101 19990930    18016  18016   0.0  30.0  0.30
01047   112     51.0557  13.7274 18820101 19151231    12417  11195   0.0 111.0  0.24
01048   227     51.1280  13.7543 19350401 20151231    24076  23800   0.0  60.0  1.07
01050   114     51.0221  13.8470 19490101 20151231    23014  14460   0.0  29.0  0.51
01051   119     51.0240  13.7737 19360101 20151231    18416  14854   0.0  40.0  0.81
01052    80     52.2174  12.1641 19930501 20151231     8280   8126   0.0  32.0  0.43
01066   180     51.5040  10.2613 19630101 19761231     5114   5114   0.0  28.0  0.71
01072   107     49.4719   8.1929 19520101 20151231    22646  22493   0.0  35.0  0.25
01073   115     49.4686   8.1797 19360101 19521231     3257   2872   0.0  32.0  0.22
01074   103     51.3043  12.0810 19470401 19730228     9101   7698   0.0  33.0  0.70
01078    37     51.2960   6.7686 19690701 20151231    16985  16985   0.0  27.0  0.16
01079    37     51.1998   6.7574 19350101 19960731    19387  18517   0.0  31.0  0.22
01084    31     51.3940   6.7026 19940501 20070531     4779   4779   0.0  17.0  0.07
01087    21     51.4634   6.7321 19510101 19931231    15555  15555   0.0  25.0  0.17
01091   258     51.2806  10.7362 19910101 20071231     6209   6209   0.0  22.0  0.34
01102   300     48.7201   9.5328 19871101 20021231     5540   5540   0.0  30.0  0.22
01103   592     48.1002  11.9872 19780101 20151231    13695  13448   0.0  75.0  1.73
01106    45     52.8239  13.7979 19470101 19501231     1461      0 -99.0 -99.0-99.00
01107   346     49.8520  10.4990 19630101 20151231    19358  19204   0.0  42.0  1.04
