DWD - Day Historical Data
minbod/gust/ppt/sundur   
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  MNBOD MNBOD MNBOD MNBOD GUST  GUST  GUST  GUST  PPT   PPT   PPT   PPT   SUNDR SUNDR SUNDR SUNDR 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        C     C     C           m/s   m/s   m/s         mm    mm    mm          hour  hour  hour  
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++----++----++----+
00710   181     49.0250   8.6991 19831101 20031231     7366   7365 -28.0  20.0  4.03     0 -99.0 -99.0 -99.0  7366   0.0  85.9   2.2  4962   0.0  14.1   4.9
00717   443     51.3873   8.5737 19370101 20040630    24227  18914 -26.5  21.5  3.12     0 -99.0 -99.0 -99.0 24222   0.0  89.0   3.0     0 -99.0 -99.0 -99.0
00722  1134     51.7986  10.6183 19470911 20151231    24949  24913 -30.1  17.9 -0.26 17404   4.4  73.0  21.5 24947   0.0 154.5   4.7 23741   0.0  16.6   3.8
00727   290     49.7345   8.9557 19580101 19861231    10592  10592 -23.9  19.1  2.96     0 -99.0 -99.0 -99.0 10592   0.0  73.1   2.4     0 -99.0 -99.0 -99.0
00729   600     50.8282  10.4540 19470101 19801231    10593   7958 -28.8  17.3  0.80     0 -99.0 -99.0 -99.0  6209   0.0  85.0   3.0     0 -99.0 -99.0 -99.0
00736   390     49.6303   7.1148 19470101 19991231    18293  16989 -29.5  17.6  2.07     0 -99.0 -99.0 -99.0 18293   0.0  89.0   2.7     0 -99.0 -99.0 -99.0
00738   310     50.3080   9.7835 19690501 19840831     5512   4782 -21.1  18.5  3.24     0 -99.0 -99.0 -99.0  5512   0.0  90.6   2.3  2892   0.0  14.5   4.2
00755   340     49.5182   9.3213 19350101 20151231    28733  24489 -26.9  18.9  2.70     0 -99.0 -99.0 -99.0 28730   0.0  72.3   2.1 27073   0.0  16.4   4.5
00757   445     47.9625   7.9983 19901001 20151231     9223   9207 -25.2  18.3  3.68     0 -99.0 -99.0 -99.0  9223   0.0  90.5   3.1  9222   0.0  14.6   4.8
00760    82     53.3635   9.9434 19760601 20040531    10227  10223 -26.5  20.6  3.66     0 -99.0 -99.0 -99.0 10227   0.0  69.6   2.4  6604   0.0  15.8   3.9
00766   477     50.1746   7.0595 20000701 20151231     5662   2645 -24.0  22.0  3.88  5256   2.6  32.9   9.6  5212   0.0  47.6   2.0  2496   0.0  16.7   4.6
00769    68     52.2817   9.0889 19790101 20151231    13440  12913 -24.9  24.1  4.83 10062   1.5  42.7  10.8 13412   0.0 127.1   1.9 12799   0.0  15.3   4.1
00771   148     50.2769   9.1167 19470101 19551231     3122   2872 -29.7  21.6  4.20     0 -99.0 -99.0 -99.0  3120   0.0  71.8   1.9  3089   0.0  14.0   4.7
00772   190     48.6957   8.1744 19470101 19860430    14334   9251 -22.0  20.6  4.68     0 -99.0 -99.0 -99.0 14333   0.0 113.8   3.5     0 -99.0 -99.0 -99.0
00773   478     48.6743   8.1799 19860501 20041231     6820   6820 -21.9  24.2  5.49     0 -99.0 -99.0 -99.0  6820   0.0 112.4   4.0     0 -99.0 -99.0 -99.0
00793   530     49.6620   7.1098 19920101 19941031     1035   1035 -15.0  19.0  3.64     0 -99.0 -99.0 -99.0  1035   0.0  71.9   2.7     0 -99.0 -99.0 -99.0
00817   293     51.0306   8.8146 19521001 20151231    22978  22978 -30.4  18.1  2.65     0 -99.0 -99.0 -99.0 22978   0.0  94.2   2.0     0 -99.0 -99.0 -99.0
00840   897     50.4313  12.6114 19950301 20151231     7606   7555 -27.3  17.7  0.54  7523   2.5  35.8  10.3  7574   0.0 144.8   3.2  7537   0.0  15.6   4.2
00848    38     52.6146  10.0726 19400101 19781231    12785  12681 -30.2  19.2  3.47     0 -99.0 -99.0 -99.0 12785   0.0  58.0   1.9  9861   0.0  16.0   4.2
00850    39     52.5959  10.0296 19790101 20151231    13489  12753 -28.2  22.0  4.15 12580   1.1  49.9   9.6 13330   0.0  90.1   1.9  9919   0.0  15.2   4.2
00851   389     49.2504  12.6040 19480201 19960430    17622  13620 -30.0  19.6  2.90     0 -99.0 -99.0 -99.0 17594   0.0  70.7   2.0 13696   0.0  15.5   4.6
00853   418     50.7913  12.8720 18820101 20151231    41545  24841 -33.6  20.4  3.05 16163   0.0  46.0  11.9 41414   0.0  78.0   2.0 25821   0.0  15.9   4.4
00856   551     47.8843  12.5404 19980101 20151231     6491   6198 -23.6  19.1  3.22  4578   0.5  37.5   9.4  6221   0.0  81.0   3.1  6372   0.0  15.6   4.8
00863   585     51.7904  10.3470 18900101 20120404    42078   1779 -26.7  16.6  0.79     0 -99.0 -99.0 -99.0 40919   0.0  93.3   3.7 23689   0.0  16.1   3.8
00865    42     52.8441   8.0624 19600101 19710228     4077   4050 -26.0  18.8  4.05     0 -99.0 -99.0 -99.0  4077   0.0  65.4   2.3  4049   0.0  16.2   4.0
00867   345     50.3067  10.9680 19470101 20151231    25200  25163 -31.4  20.7  2.63 15977   1.0  31.3   8.5 25025   0.0  73.7   2.0 22240   0.0  15.7   4.3
00876   314     51.3000  13.0167 19470101 19881231    13880  11688 -25.6  20.8  3.77  3923   5.0  43.0  16.6 10226   0.0  72.5   1.7 10227   0.0  16.4   4.1
00879    68     51.7667  14.2833 20000701 20030331      995      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0   511   0.0  60.0   1.7     0 -99.0 -99.0 -99.0
00880    69     51.7760  14.3168 18870101 20151231    43795  24555 -34.6  21.9  3.22 11796   0.5  35.2  10.0 43794   0.0 130.6   1.6 23651   0.0  16.0   4.7
00881   423     49.0985  10.0979 19500101 20031231    19634  19483 -29.2  20.2  3.21     0 -99.0 -99.0 -99.0 19634   0.0  77.8   2.2   671   0.0  14.0   4.8
00888   269     50.8149  12.3821 19650101 19911216     6180   2886 -27.0  18.2  2.05     0 -99.0 -99.0 -99.0  1431   0.0  62.3   1.8   293   0.0  15.3   5.9
00891     5     53.8713   8.7058 19460101 20151231    25567  25429 -19.4  21.2  5.39 17106   2.2  44.8  13.3 25567   0.0  63.7   2.2 25416   0.0  16.6   4.6
00896   170     51.0778  10.8619 19910101 20151231     9131   9131 -26.3  20.0  3.15     0 -99.0 -99.0 -99.0  9131   0.0  59.9   1.5    28   0.0   0.0   0.0
00917   162     49.8809   8.6779 19950801 20151231     7457   7455 -23.0  19.3  3.71     0 -99.0 -99.0 -99.0  7456   0.0  57.9   2.0     0 -99.0 -99.0 -99.0
00918   122     49.8453   8.6240 19871001 19950731     2861   2861 -15.2  24.6  4.89     0 -99.0 -99.0 -99.0  2861   0.0  47.7   1.9     0 -99.0 -99.0 -99.0
00919   169     49.8697   8.6796 19370203 19740731    13693  11800 -28.8  20.6  3.91     0 -99.0 -99.0 -99.0 13693   0.0  60.7   1.9     0 -99.0 -99.0 -99.0
00931   708     47.8007   9.4108 19890801 20031231     5266   5266 -18.0  19.7  3.92     0 -99.0 -99.0 -99.0  5266   0.0  76.4   2.9     0 -99.0 -99.0 -99.0
00948    60     51.8512  12.2515 19470101 19501231     1461   1036 -21.6  18.1  4.28     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
00953   481     49.7619   7.0541 19500801 20151231    23888  23654 -23.0  21.3  3.72 16893   1.2  37.9  11.6 23662   0.0 100.7   2.2 23613   0.0  16.2   4.5
00954     0     54.1667   7.4500 19980101 20151231     5743      1   0.0   0.0  0.00  4380   2.9  46.8  14.7     0 -99.0 -99.0 -99.0  5357   0.0  16.7   4.5
00963    39     52.5881   8.3424 19520901 20151231    23132  23090 -26.5  19.8  3.97 14255   1.5  36.0  10.4 23131   0.0  80.1   1.9  9860   0.0  15.8   3.5
00964   413     50.0832   6.8904 19520101 19621231     4018    944 -19.1  17.0  3.78     0 -99.0 -99.0 -99.0  4017   0.0  51.0   2.2     0 -99.0 -99.0 -99.0
00965   100     51.2401  13.4166 19480601 19900630    15370  14481 -29.0  21.2  4.22     0 -99.0 -99.0 -99.0 14077   0.0  70.2   1.6     1   0.3   0.3   0.3
00970   405     49.4158  10.6734 19850401 19990630     5204   5204 -24.8  18.5  2.57     0 -99.0 -99.0 -99.0  5204   0.0  96.5   1.8     0 -99.0 -99.0 -99.0
00979   314     50.7364   8.2672 19470801 20151231    24901  23805 -29.4  19.2  2.72     0 -99.0 -99.0 -99.0 24899   0.0 103.3   2.2  4133   0.0  15.0   4.1
00982   420     48.5701  10.4985 19470501 20061130    21764  21552 -31.5  21.0  3.18     0 -99.0 -99.0 -99.0 21764   0.0  72.4   2.0     0 -99.0 -99.0 -99.0
00983   419     48.5562  10.5599 20061201 20151231     3318   3318 -25.0  17.5  2.53     0 -99.0 -99.0 -99.0  3315   0.0  55.7   2.0  3184   0.0  15.4   4.7
00991   365     50.9117  13.7087 19540901 20151231    22293   9014 -31.3  20.7  1.64     0 -99.0 -99.0 -99.0 22279   0.0 182.3   2.1     0 -99.0 -99.0 -99.0
01000     3     54.1442  11.8454 19910701 19970831     2254   2254 -21.5  19.2  4.40     0 -99.0 -99.0 -99.0  2254   0.0  36.5   1.6  2254   0.0  16.0   5.0
01001    97     51.6451  13.5747 19480701 20151231    24653  18786 -33.4  19.8  2.89 12268   0.0  37.8  10.8 23408   0.0 111.3   1.6 18192   0.0  16.3   4.6
01003   201     51.1333  13.1167 19470101 19661231     7305   6782 -26.3  19.0  3.40     0 -99.0 -99.0 -99.0  7304   0.0  60.1   1.6     0 -99.0 -99.0 -99.0
01006    15     53.1399  11.2544 19471101 19610930     5083   4935 -25.4  19.0  3.68     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
01032   120     51.5120   7.5345 19500101 19990930    18016  17985 -26.6  23.9  4.11     0 -99.0 -99.0 -99.0 18016   0.0 140.0   2.4  4915   0.0  14.8   3.9
01047   112     51.0557  13.7274 18820101 19151231    12417      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0 12285   0.0 123.0   1.8     0 -99.0 -99.0 -99.0
01048   227     51.1280  13.7543 19350401 20151231    24076  23834 -31.7  23.0  3.80 15168   1.0  41.0  10.6 23802   0.0 158.0   1.8 23637   0.0  16.1   4.5
01050   114     51.0221  13.8470 19490101 20151231    23014  16708 -32.8  21.8  3.66     0 -99.0 -99.0 -99.0 23008   0.0  85.1   1.8  8600   0.0  14.7   4.5
01051   119     51.0240  13.7737 19360101 20151231    18416   7093 -27.3  21.0  4.40     0 -99.0 -99.0 -99.0 18294   0.0  92.6   1.8 10973   0.0  14.8   4.3
01052    80     52.2174  12.1641 19930501 20151231     8280   8280 -26.9  20.0  3.88     0 -99.0 -99.0 -99.0  8280   0.0  60.6   1.6     0 -99.0 -99.0 -99.0
01066   180     51.5040  10.2613 19630101 19761231     5114   4963 -28.1  20.2  3.32     0 -99.0 -99.0 -99.0  5114   0.0  69.3   1.5     0 -99.0 -99.0 -99.0
01072   107     49.4719   8.1929 19520101 20151231    22646  22599 -25.4  22.0  4.29     0 -99.0 -99.0 -99.0 22631   0.0 101.6   1.5     0 -99.0 -99.0 -99.0
01073   115     49.4686   8.1797 19360101 19521231     3257      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0  3255   0.0  61.1   1.6     0 -99.0 -99.0 -99.0
01074   103     51.3043  12.0810 19470401 19730228     9101      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0  7730   0.0  67.0   1.5     0 -99.0 -99.0 -99.0
01078    37     51.2960   6.7686 19690701 20151231    16985  16979 -29.2  23.7  5.03 16934   2.1  40.3  10.7 16985   0.0  57.4   2.1 16776   0.0  16.0   4.2
01079    37     51.1998   6.7574 19350101 19960731    19387  17573 -26.2  21.8  4.86     0 -99.0 -99.0 -99.0 19386   0.0  72.1   2.1 18960   0.0  15.6   3.9
01084    31     51.3940   6.7026 19940501 20070531     4779   4779 -16.6  22.4  7.03     0 -99.0 -99.0 -99.0  4779   0.0  68.8   2.3     0 -99.0 -99.0 -99.0
01087    21     51.4634   6.7321 19510101 19931231    15555  15546 -22.5  24.0  6.12     0 -99.0 -99.0 -99.0 15555   0.0  80.1   2.2     0 -99.0 -99.0 -99.0
01091   258     51.2806  10.7362 19910101 20071231     6209   6209 -20.1  19.9  3.95     0 -99.0 -99.0 -99.0  6209   0.0  43.7   1.4     0 -99.0 -99.0 -99.0
01102   300     48.7201   9.5328 19871101 20021231     5540   5540 -24.0  20.4  4.85     0 -99.0 -99.0 -99.0  5540   0.0  57.2   2.5     0 -99.0 -99.0 -99.0
01103   592     48.1002  11.9872 19780101 20151231    13695  13695 -28.2  18.0  2.77     0 -99.0 -99.0 -99.0 13694   0.0  75.8   2.8     0 -99.0 -99.0 -99.0
01106    45     52.8239  13.7979 19470101 19501231     1461    153 -13.6  16.0  4.48     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
01107   346     49.8520  10.4990 19630101 20151231    19358  19358 -26.6  18.7  2.76     0 -99.0 -99.0 -99.0 19357   0.0  94.3   2.2     0 -99.0 -99.0 -99.0
01130    17     54.6282   9.3648 20000701 20050131     1620      0 -99.0 -99.0-99.00  1192   2.6  34.0  10.4  1189   0.0  93.0   2.5     0 -99.0 -99.0 -99.0
01146   487     48.6593   8.9121 19850701 19870731      761    761 -29.2  16.5  2.34     0 -99.0 -99.0 -99.0   761   0.0  36.7   2.3     0 -99.0 -99.0 -99.0
01154   470     48.3416  12.8820 19450101 19660930     7884   7335 -30.2  19.2  2.56     0 -99.0 -99.0 -99.0  7882   0.0 107.5   2.4     0 -99.0 -99.0 -99.0
01161   384     48.8777  11.2349 19550101 20151231    20604  20556 -31.3  18.8  2.76     0 -99.0 -99.0 -99.0 20603   0.0  80.6   2.0     0 -99.0 -99.0 -99.0
01169   264     47.6288   7.5959 19760201 19990930     8582   8582 -27.6  20.0  4.54     0 -99.0 -99.0 -99.0  8582   0.0  70.3   2.2     0 -99.0 -99.0 -99.0
01172   123     51.8189   9.8871 19510101 19891130    14214  14120 -26.6  19.5  3.64     0 -99.0 -99.0 -99.0 14214   0.0  73.9   1.8 13998   0.0  15.4   3.7
01182   146     51.5029  11.5705 19470101 20010531    18090  15716 -27.0  19.3  3.12     0 -99.0 -99.0 -99.0 15775   0.0 100.1   1.4  5813   0.0  15.5   4.2
01185     0     54.0000   8.1167 20010319 20021117       15      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
01188   518     50.7041  10.8576 19470101 19740831    10105   6293 -26.1  18.8  2.20     0 -99.0 -99.0 -99.0  5843   0.0  60.2   2.1  3317   0.0  15.5   5.0
01197   460     48.9895  10.1312 19410101 20151231    26875  24016 -31.2  27.0  2.85     0 -99.0 -99.0 -99.0 26841   0.0  75.1   2.3 23406   0.0  15.0   4.3
01200     3     54.0691   9.0106 19980101 20151231     6566   6283 -23.9  19.6  4.46  2920   2.4  35.8  12.0  6279   0.0  44.6   2.2  6435   0.0  16.7   4.8
01201    85     50.9281   6.5646 19470701 20001231    19543  19463 -25.5  20.5  4.82     0 -99.0 -99.0 -99.0 19543   0.0  68.7   1.9  7487   0.0  15.3   4.3
01204     1     53.2346   8.4612 19490101 19651231     6209   6209 -22.0  19.0  3.98     0 -99.0 -99.0 -99.0  6208   0.0  49.7   2.0  6179   0.0  16.1   4.2
01207   560     50.2705  12.2742 19480601 20151231    23805   8555 -28.2  18.2  1.74     0 -99.0 -99.0 -99.0 23803   0.0  74.9   2.1 14307   0.0  14.8   3.9
01214   440     48.2012   8.1089 19871101 20151231     8522   8522 -22.9  19.9  3.58     0 -99.0 -99.0 -99.0  8522   0.0  84.8   3.7  4169   0.0  13.6   4.5
01219     5     53.3449   7.1909 19470101 19970630    11445  11445 -21.1  19.5  5.14  8188   2.4  42.2  12.1 11445   0.0  64.7   2.0 11172   0.0  16.6   4.3
01221     0     53.3707   7.2236 19550101 19740228     6999   6999 -25.6  18.7  4.05  6634   2.0  37.0  12.6  6999   0.0  47.4   2.1  4626   0.0  16.3   4.4
01224   201     48.1378   7.8351 19751101 20151231    14671  14659 -30.3  20.6  4.14     0 -99.0 -99.0 -99.0 14671   0.0  72.8   2.4     0 -99.0 -99.0 -99.0
01228     0     54.1651   6.3460 20000701 20151231     4995      1   0.0   0.0  0.00  4575   3.3  42.5  14.9     1   7.0   7.0   7.0  4850   0.0  16.7   4.9
01229    90     50.3324   7.6975 19470101 19970331    18353  13215 -23.5  22.0  4.43     0 -99.0 -99.0 -99.0 18353   0.0 112.6   2.0     0 -99.0 -99.0 -99.0
01238   144     50.9884   7.4250 19510101 19960930    16710  16510 -25.5  19.5  4.01     0 -99.0 -99.0 -99.0 16710   0.0  84.6   3.3  4138   0.0  14.2   3.9
01239   540     47.8516   8.7673 19860801 20080923     5748   5716 -25.4  17.4  3.06     0 -99.0 -99.0 -99.0  5746   0.0  55.3   2.0  1843   0.0  14.7   4.4
01243   705     48.4734   9.3028 19760101 19850930     3561   3561 -34.5  18.3  1.60     0 -99.0 -99.0 -99.0  3561   0.0  79.1   2.6  3561   0.0  14.4   4.5
01246   104     51.8418   8.0607 20150801 20151231      153    153  -2.1  17.9  6.89     0 -99.0 -99.0 -99.0   153   0.0  45.6   2.5   152   0.0  13.4   4.1
01254   210     49.1307   8.9165 19470701 20021130    20211  19522 -31.8  20.0  3.90     0 -99.0 -99.0 -99.0 20211   0.0  97.3   2.1     0 -99.0 -99.0 -99.0
01255   220     49.1664   8.8523 20021201 20151231     4779   4779 -22.6  18.8  3.86     0 -99.0 -99.0 -99.0  4779   0.0  44.4   2.0  4778   0.0  14.9   5.0
01262   446     48.3477  11.8133 19920517 20151231     8629   8618 -29.9  17.9  2.69  8578   0.5  34.5   9.7  8629   0.0  71.1   2.1  8620   0.0  15.7   5.0
01266    18     54.2992   9.3162 19640501 20151231    18872  18872 -22.8  19.9  4.34     0 -99.0 -99.0 -99.0 18871   0.0  66.2   2.3 11872   0.0  15.1   4.4
01270   316     50.9829  10.9608 19510101 20151231    23741  23370 -29.5  21.5  2.83 15168   0.4  43.0  10.6 23738   0.0  75.0   1.5 23741   0.0  16.0   4.5
01275   340     48.3008  13.1398 19670401 19801231     5024   4992 -25.0  18.0  3.77     0 -99.0 -99.0 -99.0  5024   0.0  63.6   2.4  5024   0.0  14.0   4.3
01276   408     47.6358   9.5392 19800801 20021231     7975   7945 -27.5  18.7  3.53     0 -99.0 -99.0 -99.0  7975   0.0  72.2   3.0  2130   0.0  13.8   4.3
01279   268     49.6497  11.0073 19490101 20151231    24106  23558 -34.6  20.0  3.25     0 -99.0 -99.0 -99.0 24105   0.0 123.5   1.8 23891   0.0  15.1   4.3
01280   280     49.5692  10.9929 19470401 19531231     2467   2467 -19.0  17.1  2.40     0 -99.0 -99.0 -99.0  2402   0.0  40.0   1.5     0 -99.0 -99.0 -99.0
01287   198     49.8589   9.2861 19911201 20060831     5388   5388 -20.5  18.4  4.41     0 -99.0 -99.0 -99.0  5388   0.0  59.6   2.3     0 -99.0 -99.0 -99.0
01292   470     49.7522  11.8222 19670101 20060430    14365  14365 -25.0  19.5  2.60     0 -99.0 -99.0 -99.0 14365   0.0  91.0   2.1     0 -99.0 -99.0 -99.0
01297   170     51.1834  10.0638 19470901 20151231    24900  24283 -27.3  18.8  3.42  1580   1.8  33.4  10.1 24900   0.0 118.0   1.7  4018   0.0  15.4   4.1
01299     3     53.6476   7.6085 19790901 19991031     7366   7366 -20.3  19.6  4.68     0 -99.0 -99.0 -99.0  7366   0.0  65.5   2.4     0 -99.0 -99.0 -99.0
01300   351     51.2540   8.1565 19380101 20151231    26246  22645 -30.7  18.0  2.57     0 -99.0 -99.0 -99.0 26244   0.0  73.6   3.1     0 -99.0 -99.0 -99.0
01303   150     51.4040   6.9676 19350101 20151231    28125  27424 -28.5  23.9  4.90 19339   0.0  41.2  10.5 28121   0.0 109.8   2.5 28001   0.0  16.0   4.1
01327   146     50.7119   6.7910 19370101 20151231    27789  22644 -25.3  23.0  4.78     0 -99.0 -99.0 -99.0 27787   0.0  78.2   1.6 15491   0.0  16.0   4.3
01329    50     54.1340  10.5865 19360101 20031231    23377  22951 -29.0  19.5  4.26     0 -99.0 -99.0 -99.0 23375   0.0 112.6   2.1     0 -99.0 -99.0 -99.0
01332   472     48.4832  12.7240 19660701 20151231    17897  17897 -27.5  23.1  3.39     0 -99.0 -99.0 -99.0 17897   0.0  92.7   2.3     0 -99.0 -99.0 -99.0
01339    73     52.9157  10.1885 20000701 20151231     5655   2536 -27.0  19.0  3.85  5300   2.1  87.0   9.8  4920   0.0  75.0   2.1   602   0.0  15.3   3.7
01341     0     54.6000  11.1500 20081201 20110928      971      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
01345    92     53.3346  13.4371 19470301 19621231     5785   5723 -33.5  20.5  3.50     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
01346  1490     47.8749   8.0038 19450101 20151231    25758  24927 -31.4  20.7 -0.69 21644   2.0  57.0  18.1 25754   0.0 112.8   4.8 25697   0.0  16.1   4.6
01357   654     49.9807  11.8376 19480101 20151231    24714  24684 -31.5  17.7  1.27  7690   1.8  33.0  10.1 24713   0.0  74.0   3.1     0 -99.0 -99.0 -99.0
01358  1213     50.4283  12.9535 18900801 20151231    44371  26313 -31.6  21.2 -0.02 16975   0.0  60.0  18.4 44256   0.0 137.8   3.1 29840   0.0  15.8   4.1
01374   363     50.5049  10.1671 19490112 19720430     8510   4352 -22.0  19.0  2.98     0 -99.0 -99.0 -99.0  8510   0.0  57.5   2.2     0 -99.0 -99.0 -99.0
01378    45     54.8086   9.4182 19850701 20061231     7854   7854 -19.9  19.6  4.70     0 -99.0 -99.0 -99.0  7854   0.0  79.6   2.7  4049   0.0  16.0   4.2
01379    41     54.7737   9.3752 19570101 19850630    10408  10408 -24.0  19.6  3.50   943   2.8  35.0  12.0 10408   0.0  76.6   2.2 10408   0.0  16.2   4.3
01380    19     54.8147   9.4580 19410101 19561231     5479   5267 -24.2  17.8  3.43     0 -99.0 -99.0 -99.0  5477   0.0  97.3   2.1  4018   0.0  16.7   4.9
01392   622     49.7317  12.3491 19871001 20061231     7032   7032 -20.9  22.0  2.91     0 -99.0 -99.0 -99.0  7032   0.0  77.3   2.7     0 -99.0 -99.0 -99.0
01403   260     50.0616   9.4550 19650401 19801031     5693   5693 -27.7  17.0  2.61     0 -99.0 -99.0 -99.0  5693   0.0  64.8   2.7  1135   0.0  14.1   4.0
01410   130     51.3512  11.0958 19910101 19970331     2282   2282 -20.5  19.5  3.74     0 -99.0 -99.0 -99.0  2282   0.0  46.6   1.6     0 -99.0 -99.0 -99.0
01411   745     50.5309  10.0480 19910101 20151231     7487   7336 -24.6  19.1  1.89     0 -99.0 -99.0 -99.0  7479   0.0  63.7   2.9     0 -99.0 -99.0 -99.0
01420   100     50.0259   8.5213 19490101 20151231    24471  24471 -26.2  22.2  3.83 17338   1.0  36.0  10.1 24471   0.0 109.7   1.7 23894   0.0  15.9   4.5
01421   125     50.1474   8.6746 19611201 19840831     8310   8310 -22.4  20.2  4.52     0 -99.0 -99.0 -99.0  8310   0.0  80.7   1.8  3287   0.0  14.9   4.1
01424   124     50.1269   8.6694 19851101 20151231    10927  10926 -18.2  22.6  6.20     0 -99.0 -99.0 -99.0 10926   0.0  61.5   1.8    31   0.0  13.6   8.7
01425   109     50.1213   8.6601 18700101 19611130    33479   5570 -23.0  21.0  5.19  2969   1.0  35.8  10.1 33477   0.0  77.6   1.7  9558   0.0  15.3   4.3
01426    65     52.3397  14.5080 19470101 19841231    13880  10737 -35.6  20.1  3.15  3475   5.0  40.0  11.6 12419   0.0 153.3   1.4  5114   0.0  16.2   4.7
01428   230     49.2275   8.0585 19480101 19571231     3653      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0  3652   0.0  54.3   2.0     0 -99.0 -99.0 -99.0
01440   481     48.2018   7.9336 19710501 20031231    11840  11630 -20.1  22.9  5.22     0 -99.0 -99.0 -99.0 11840   0.0  98.0   2.8 11840   0.0  14.9   4.7
01441   416     50.9263  13.2711 19470101 19930430     8156   8062 -30.9  20.5  2.55     0 -99.0 -99.0 -99.0  6694   0.0  75.9   2.0     0 -99.0 -99.0 -99.0
01443   236     48.0233   7.8344 19490501 20151231    24351  24344 -25.0  23.5  5.23 22246   0.3  36.4  10.1 24346   0.0  80.3   2.5 24345   0.0  15.2   4.9
01447   255     48.0130   7.8588 19470101 19850630    13847  11953 -28.1  20.5  4.06     0 -99.0 -99.0 -99.0 13846   0.0  70.5   2.7     0 -99.0 -99.0 -99.0
01451     2     53.8277   9.2493 19701101 20151231    16406  16406 -22.5  21.2  4.31     0 -99.0 -99.0 -99.0 16406   0.0  60.3   2.3  4384   0.0  16.3   3.8
01468   797     48.4537   8.4091 19490101 20151231    23945  23944 -28.5  20.0  1.91 16392   1.2  36.5  10.0 23944   0.0 113.3   4.4 23741   0.0  15.8   4.7
01473   436     49.1780  11.3735 20060101 20151231     3652   3652 -27.2  18.1  1.98     0 -99.0 -99.0 -99.0  3649   0.0  60.0   2.0  3651   0.0  15.6   4.8
01488   523     51.6884  11.0394 19470101 19721231     9497   7305 -31.8  16.5  0.52     0 -99.0 -99.0 -99.0  5843   0.0 118.2   2.1  5844   0.0  15.3   4.1
01490   394     47.6454   9.4795 19470101 19801130    12388  11342 -24.8  19.0  3.82  4536   1.6  31.9   8.7 12388   0.0 101.9   2.7 11203   0.0  15.4   4.7
01492   852     47.7819   7.7348 19580101 20031231    16680   9901 -24.0  18.7  3.06     0 -99.0 -99.0 -99.0 16680   0.0 119.6   4.4     0 -99.0 -99.0 -99.0
01503     6     53.0643   7.9022 19470201 20151231    23071  22852 -27.5  20.0  3.55  1184   2.6  29.6  10.9 23071   0.0  73.5   2.1 16912   0.0  15.6   3.8
01504   172     51.1190   9.2799 20000701 20151231     5647   2828 -24.0  20.0  3.68     0 -99.0 -99.0 -99.0  5310   0.0  57.2   1.6   756   0.0  15.1   3.6
01513   653     50.6588   8.1027 19470101 19621130     5813   5631 -26.0  18.7  2.35     0 -99.0 -99.0 -99.0  5812   0.0  56.5   2.8  5601   0.0  15.5   4.5
01515   519     48.2000  11.2667 20000702 20030915      780      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0     0 -99.0 -99.0 -99.0
01522   313     49.4811  10.9640 19470601 19550331     2861   2861 -22.5  19.2  2.24     0 -99.0 -99.0 -99.0  2860   0.0  72.7   1.5  2811   0.0  15.3   5.0
01526   255     50.5335   9.6750 19490101 20110426    21665  21624 -30.0  19.0  2.43  5494   1.1  31.1   7.8 21663   0.0  87.5   1.8 10326   0.0  14.6   3.8
01544    47     52.5129  11.3941 19470101 20151231    25202  19950 -32.8  20.2  3.12 14412   1.4  40.0  10.6 24847   0.0  60.8   1.5 17876   0.0  16.5   4.3
01550   719     47.4831  11.0623 19360101 20151231    28884  28595 -34.6  18.3  0.96 17083   0.1  24.6   6.8 28871   0.0 138.2   3.7 28870   0.0  14.1   4.6
01552    13     53.2066  14.3817 19951101 19960430      182    182 -21.4   6.0 -5.99     0 -99.0 -99.0 -99.0   182   0.0  24.4   0.7     0 -99.0 -99.0 -99.0
